"name","region","sub_region_1","sub_region_2","date","measure","fraction","value","value_daily","value_7_day_rolling_avg","value_7_day_rolling_avg_daily"
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-06-17","covN2","solid",5.350565,-0.153375,5.4272525,0.7073
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-06-20","covN2","solid",4.69282,-0.657744999999999,5.0216925,-0.405559999999999
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-06-24","covN2","solid",3.460775,-1.232045,4.0767975,-0.944895000000001
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-06-27","covN2","solid",2.61993,-0.840845,3.0403525,-1.036445
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-07-01","covN2","solid",6.71157,4.09164,4.66575,1.6253975
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-07-04","covN2","solid",4.206695,-2.504875,5.4591325,0.7933825
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-07-08","covN2","solid",0.00549,-4.201205,2.1060925,-3.35304
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-07-11","covN2","solid",1.786455,1.780965,0.8959725,-1.21012
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-07-15","covN2","solid",2.593865,0.80741,2.19016,1.2941875
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-07-18","covN2","solid",4.513195,1.91933,3.55353,1.36337
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-07-22","covN2","solid",3.70584,-0.807355,4.1095175,0.5559875
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-07-25","covN2","solid",9.82634,6.1205,6.76609,2.6565725
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-07-29","covN2","solid",13.54096,3.71462,11.68365,4.91756
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-08-01","covN2","solid",14.808505,1.267545,14.1747325,2.4910825
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-08-05","covN2","solid",31.47704,16.668535,23.1427725,8.96804
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-08-08","covN2","solid",24.155485,-7.321555,27.8162625,4.67349
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-08-12","covN2","solid",63.438195,39.28271,43.79684,15.9805775
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-08-15","covN2","solid",57.52774,-5.910455,60.4829675,16.6861275
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-08-19","covN2","solid",111.748385,54.220645,84.6380625,24.155095
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-08-22","covN2","solid",39.481595,-72.26679,75.61499,-9.0230725
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-08-26","covN2","solid",95.92059,56.438995,67.7010925,-7.9138975
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-08-29","covN2","solid",84.364305,-11.556285,90.1424475,22.441355
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-09-02","covN2","solid",230.961705,146.5974,157.663005,67.5205575
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-09-05","covN2","solid",228.61041,-2.35129499999999,229.7860575,72.1230525
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-09-09","covN2","solid",107.30962,-121.30079,167.960015,-61.8260425
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-09-12","covN2","solid",148.34082,41.0312,127.82522,-40.134795
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-09-16","covN2","solid",104.532495,-43.808325,126.4366575,-1.38856250000001
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-09-19","covN2","solid",96.70914,-7.82335499999999,100.6208175,-25.81584
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-09-23","covN2","solid",149.862515,53.153375,123.2858275,22.66501
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-09-26","covN2","solid",61.293465,-88.56905,105.57799,-17.7078375
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-09-30","covN2","solid",156.013545,94.72008,108.653505,3.075515
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-10-03","covN2","solid",39.541965,-116.47158,97.777755,-10.87575
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-10-07","covN2","solid",61.780945,22.23898,50.661455,-47.1163
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-10-10","covN2","solid",29.132525,-32.64842,45.456735,-5.20471999999999
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-10-14","covN2","solid",60.344365,31.21184,44.738445,-0.718290000000003
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-10-17","covN2","solid",101.685605,41.34124,81.014985,36.27654
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-10-21","covN2","solid",51.35087,-50.334735,76.5182375,-4.4967475
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-10-24","covN2","solid",41.095365,-10.255505,46.2231175,-30.29512
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-10-28","covN2","solid",35.93746,-5.157905,38.5164125,-7.706705
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-10-31","covN2","solid",41.53953,5.60207,38.738495,0.222082499999999
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-11-04","covN2","solid",44.863625,3.324095,43.2015775,4.4630825
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-11-07","covN2","solid",26.8327,-18.030925,35.8481625,-7.353415
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-11-11","covN2","solid",26.266125,-0.566575,26.5494125,-9.29875
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-11-14","covN2","solid",39.564265,13.29814,32.915195,6.3657825
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-11-18","covN2","solid",29.592295,-9.97197,34.57828,1.663085
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-11-21","covN2","solid",36.127185,6.53489,32.85974,-1.71854
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-11-25","covN2","solid",21.88783,-14.239355,29.0075075,-3.8522325
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-11-28","covN2","solid",27.730685,5.842855,24.8092575,-4.19825
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-12-02","covN2","solid",24.11287,-3.617815,25.9217775,1.11252
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-12-05","covN2","solid",21.857945,-2.254925,22.9854075,-2.93637
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-12-09","covN2","solid",14.21629,-7.641655,18.0371175,-4.94829
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-12-12","covN2","solid",12.512275,-1.704015,13.3642825,-4.672835
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-12-16","covN2","solid",26.914895,14.40262,19.713585,6.3493025
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-12-19","covN2","solid",28.99427,2.079375,27.9545825,8.2409975
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-12-23","covN2","solid",67.70478,38.71051,48.349525,20.3949425
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-12-26","covN2","solid",148.220975,80.516195,107.9628775,59.6133525
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2021-12-31","covN2","solid",127.970435,-20.25054,138.095705,30.1328275
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-01-03","covN2","solid",41.55511,-86.415325,84.7627725,-53.3329325
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-01-06","covN2","solid",236.836685,195.281575,135.454076666667,50.691304166667
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-01-09","covN2","solid",178.749855,-58.08683,152.38055,16.926473333333
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-01-13","covN2","solid",128.89866,-49.851195,153.8242575,1.44370749999999
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-01-16","covN2","solid",166.701385,37.802725,147.8000225,-6.02423499999998
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-01-20","covN2","solid",337.03609,170.334705,251.8687375,104.068715
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-01-23","covN2","solid",229.82916,-107.20693,283.432625,31.5638875
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-01-27","covN2","solid",170.82867,-59.00049,200.328915,-83.10371
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-01-30","covN2","solid",62.031005,-108.797665,116.4298375,-83.8990775
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-02-03","covN2","solid",78.539975,16.50897,70.28549,-46.1443475
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-02-06","covN2","solid",120.432175,41.8922,99.486075,29.200585
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-02-10","covN2","solid",21.567215,-98.86496,70.999695,-28.48638
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-02-13","covN2","solid",29.33177,7.764555,25.4494925,-45.5502025
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-02-17","covN2","solid",40.94529,11.61352,35.13853,9.6890375
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-02-20","covN2","solid",40.23946,-0.705829999999999,40.592375,5.45384499999999
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-02-24","covN2","solid",31.047735,-9.191725,35.6435975,-4.9487775
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-02-27","covN2","solid",28.014825,-3.03291,29.53128,-6.1123175
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-03-03","covN2","solid",20.239225,-7.7756,24.127025,-5.404255
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-03-06","covN2","solid",22.40261,2.163385,21.3209175,-2.8061075
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-03-10","covN2","solid",29.327635,6.925025,25.8651225,4.544205
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-03-13","covN2","solid",15.52286,-13.804775,22.4252475,-3.439875
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-03-17","covN2","solid",10.28706,-5.2358,12.90496,-9.5202875
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-03-20","covN2","solid",27.00337,16.71631,18.645215,5.740255
