"date","source","date_start","date_end","region","sub_region_1","active_hospitalizations","active_icu","notes"
"2020-07-08",,"2020-07-08","2020-07-08","BC",,,,
"2020-07-09",,"2020-07-09","2020-07-09","BC",,,,
"2020-07-10",,"2020-07-10","2020-07-10","BC",,,,
"2020-07-11",,"2020-07-11","2020-07-11","BC",,,,
"2020-07-12",,"2020-07-12","2020-07-12","BC",,,,
"2020-07-13",,"2020-07-13","2020-07-13","BC",,,,
"2020-07-14",,"2020-07-14","2020-07-14","BC",,,,
"2020-07-15",,"2020-07-15","2020-07-15","BC",,,,
"2020-07-16",,"2020-07-16","2020-07-16","BC",,,,
"2020-07-17",,"2020-07-17","2020-07-17","BC",,,,
"2020-07-18",,"2020-07-18","2020-07-18","BC",,,,
"2020-07-19",,"2020-07-19","2020-07-19","BC",,,,
"2020-07-20",,"2020-07-20","2020-07-20","BC",,,,
"2020-07-21",,"2020-07-21","2020-07-21","BC",,,,
"2020-07-22",,"2020-07-22","2020-07-22","BC",,,,
"2020-07-23",,"2020-07-23","2020-07-23","BC",,,,
"2020-07-24",,"2020-07-24","2020-07-24","BC",,,,
"2020-07-25",,"2020-07-25","2020-07-25","BC",,,,
"2020-07-26",,"2020-07-26","2020-07-26","BC",,,,
"2020-07-27",,"2020-07-27","2020-07-27","BC",,,,
"2020-07-28",,"2020-07-28","2020-07-28","BC",,,,
"2020-07-29",,"2020-07-29","2020-07-29","BC",,,,
"2020-07-30",,"2020-07-30","2020-07-30","BC",,,,
"2020-07-31",,"2020-07-31","2020-07-31","BC",,,,
"2020-08-01",,"2020-08-01","2020-08-01","BC",,,,
"2020-08-02",,"2020-08-02","2020-08-02","BC",,,,
"2020-08-03",,"2020-08-03","2020-08-03","BC",,,,
"2020-08-04",,"2020-08-04","2020-08-04","BC",,,,
"2020-08-05",,"2020-08-05","2020-08-05","BC",,,,
"2020-08-06",,"2020-08-06","2020-08-06","BC",,,,
"2020-08-07",,"2020-08-07","2020-08-07","BC",,,,
"2020-08-08",,"2020-08-08","2020-08-08","BC",,,,
"2020-08-09",,"2020-08-09","2020-08-09","BC",,,,
"2020-08-10",,"2020-08-10","2020-08-10","BC",,,,
"2020-08-11",,"2020-08-11","2020-08-11","BC",,,,
"2020-08-12",,"2020-08-12","2020-08-12","BC",,,,
"2020-08-13",,"2020-08-13","2020-08-13","BC",,,,
"2020-08-14",,"2020-08-14","2020-08-14","BC",,,,
"2020-08-15",,"2020-08-15","2020-08-15","BC",,,,
"2020-08-16",,"2020-08-16","2020-08-16","BC",,,,
"2020-08-17",,"2020-08-17","2020-08-17","BC",,,,
"2020-08-18",,"2020-08-18","2020-08-18","BC",,,,
"2020-08-19",,"2020-08-19","2020-08-19","BC",,,,
"2020-08-20",,"2020-08-20","2020-08-20","BC",,,,
"2020-08-21",,"2020-08-21","2020-08-21","BC",,,,
"2020-08-22",,"2020-08-22","2020-08-22","BC",,,,
"2020-08-23",,"2020-08-23","2020-08-23","BC",,,,
"2020-08-24",,"2020-08-24","2020-08-24","BC",,,,
"2020-08-25",,"2020-08-25","2020-08-25","BC",,,,
"2020-08-26",,"2020-08-26","2020-08-26","BC",,,,
"2020-08-27",,"2020-08-27","2020-08-27","BC",,,,
"2020-08-28",,"2020-08-28","2020-08-28","BC",,,,
"2020-08-29",,"2020-08-29","2020-08-29","BC",,,,
"2020-08-30",,"2020-08-30","2020-08-30","BC",,,,
"2020-08-31",,"2020-08-31","2020-08-31","BC",,,,
"2020-09-01",,"2020-09-01","2020-09-01","BC",,,,
"2020-09-02",,"2020-09-02","2020-09-02","BC",,,,
"2020-09-03",,"2020-09-03","2020-09-03","BC",,,,
"2020-09-04",,"2020-09-04","2020-09-04","BC",,,,
"2020-09-05",,"2020-09-05","2020-09-05","BC",,,,
"2020-09-06",,"2020-09-06","2020-09-06","BC",,,,
"2020-09-07",,"2020-09-07","2020-09-07","BC",,,,
"2020-09-08",,"2020-09-08","2020-09-08","BC",,,,
"2020-09-09",,"2020-09-09","2020-09-09","BC",,,,
"2020-09-10",,"2020-09-10","2020-09-10","BC",,,,
"2020-09-11",,"2020-09-11","2020-09-11","BC",,,,
"2020-09-12",,"2020-09-12","2020-09-12","BC",,,,
