"date","region","region_original","hospitalization","icu"
2020-04-13,"CAN","CAN",1609,578
2020-04-13,"BC","BC",134,63
2020-04-13,"AB","AB",47,14
2020-04-13,"ON","ON",738,261
2020-04-13,"QC","QC",653,226
2020-04-13,"NS","NS",9,4
2020-04-13,"NB","NB",5,3
2020-04-13,"MB","MB",8,4
2020-04-13,"PE","PEI",0,0
2020-04-13,"SK","SK",8,0
2020-04-13,"NL","NL",7,3
2020-04-13,"NT","NT",0,0
2020-04-13,"YT","YT",0,0
2020-04-13,"NU","NU",0,0
2020-04-16,"CAN","CAN",1774,557
2020-04-16,"BC","BC",131,59
2020-04-16,"AB","AB",44,12
2020-04-16,"SK","SK",795,254
2020-04-16,"QC","QC",766,218
2020-04-16,"NS","NS",9,4
2020-04-16,"NB","NB",5,3
2020-04-16,"MB","MB",9,4
2020-04-16,"PE","PEI",0,0
2020-04-16,"SK","SK",8,0
2020-04-16,"NL","NL",7,3
2020-04-16,"NT","NT",0,0
2020-04-16,"YT","YT",0,0
2020-04-16,"NU","NU",0,0
2020-04-20,"CAN","CAN",1943,516
2020-04-20,"BC","BC",115,54
2020-04-20,"AB","AB",65,16
2020-04-20,"ON","ON",809,247
2020-04-20,"QC","QC",919,183
2020-04-20,"NS","NS",12,4
2020-04-20,"NB","NB",5,3
2020-04-20,"MB","MB",8,5
2020-04-20,"PE","PEI",0,0
2020-04-20,"SK","SK",4,1
2020-04-20,"NL","NL",6,3
2020-04-20,"NT","NT",0,0
2020-04-20,"YT","YT",0,0
2020-04-20,"NU","NU",0,0
2020-04-22,"CAN","CAN",2089,531
2020-04-22,"BC","BC",109,51
2020-04-22,"AB","AB",64,18
2020-04-22,"ON","ON",859,250
2020-04-22,"QC","QC",1023,201
2020-04-22,"NS","NS",11,3
2020-04-22,"NB","NB",5,1
2020-04-22,"MB","MB",7,4
2020-04-22,"PE","PEI",0,0
2020-04-22,"SK","SK",5,1
2020-04-22,"NL","NL",6,2
2020-04-22,"NT","NT",0,0
2020-04-22,"YT","YT",0,0
2020-04-22,"NU","NU",0,0
2020-04-24,"CAN","CAN",2299,512
2020-04-24,"BC","BC",103,44
2020-04-24,"AB","AB",72,18
2020-04-24,"ON","ON",887,233
2020-04-24,"QC","QC",1204,207
2020-04-24,"NS","NS",10,4
2020-04-24,"NB","NB",5,1
2020-04-24,"MB","MB",7,2
2020-04-24,"PE","PEI",0,0
2020-04-24,"SK","SK",6,1
2020-04-24,"NL","NL",5,2
2020-04-24,"NT","NT",0,0
2020-04-24,"YT","YT",0,0
2020-04-24,"NU","NU",0,0
2020-04-27,"CAN","CAN",2454,537
2020-04-27,"BC","BC",96,41
2020-04-27,"AB","AB",83,20
2020-04-27,"ON","ON",938,252
2020-04-27,"QC","QC",1303,215
2020-04-27,"NS","NS",12,3
2020-04-27,"NB","NB",4,0
2020-04-27,"MB","MB",8,2
2020-04-27,"PE","PEI",0,0
2020-04-27,"SK","SK",5,2
2020-04-27,"NL","NL",5,2
2020-04-27,"NT","NT",0,0
2020-04-27,"YT","YT",0,0
2020-04-27,"NU","NU",0,0
2020-04-29,"CAN","CAN",2572,523
2020-04-29,"BC","BC",94,37
2020-04-29,"AB","AB",82,21
2020-04-29,"ON","ON",957,239
2020-04-29,"QC","QC",1408,217
2020-04-29,"NS","NS",11,3
