"date","region","region_original","hospitalization","icu"
2020-04-29,"NB","NB",1,0
2020-04-29,"MB","MB",7,2
2020-04-29,"PE","PEI",0,0
2020-04-29,"SK","SK",8,2
2020-04-29,"NL","NL",4,2
2020-04-29,"NT","NT",0,0
2020-04-29,"YT","YT",0,0
2020-04-29,"NU","NU",0,0
2020-05-01,"CAN","CAN",2698,510
2020-05-01,"BC","BC",82,30
2020-05-01,"AB","AB",90,22
2020-05-01,"ON","ON",999,233
2020-05-01,"QC","QC",1498,218
2020-05-01,"NS","NS",10,3
2020-05-01,"NB","NB",0,0
2020-05-01,"MB","MB",5,0
2020-05-01,"PE","PEI",0,0
2020-05-01,"SK","SK",10,3
2020-05-01,"NL","NL",4,1
2020-05-01,"NT","NT",0,0
2020-05-01,"YT","YT",0,0
2020-05-01,"NU","NU",0,0
2020-05-04,"CAN","CAN",2737,499
2020-05-04,"BC","BC",72,23
2020-05-04,"AB","AB",90,19
2020-05-04,"ON","ON",1010,232
2020-05-04,"QC","QC",1536,218
2020-05-04,"NS","NS",6,2
2020-05-04,"NB","NB",0,0
2020-05-04,"MB","MB",5,0
2020-05-04,"PE","PEI",0,0
2020-05-04,"SK","SK",14,3
2020-05-04,"NL","NL",4,2
2020-05-04,"NT","NT",0,0
2020-05-04,"YT","YT",0,0
2020-05-04,"NU","NU",0,0
2020-05-06,"CAN","CAN",2837,490
2020-05-06,"BC","BC",78,21
2020-05-06,"AB","AB",87,20
2020-05-06,"ON","ON",1043,223
2020-05-06,"QC","QC",1603,218
2020-05-06,"NS","NS",5,2
2020-05-06,"NB","NB",0,0
2020-05-06,"MB","MB",4,0
2020-05-06,"PE","PEI",0,0
2020-05-06,"SK","SK",13,4
2020-05-06,"NL","NL",4,2
2020-05-06,"NT","NT",0,0
2020-05-06,"YT","YT",0,0
2020-05-06,"NU","NU",0,0
2020-05-11,"CAN","CAN",2775,438
2020-05-11,"BC","BC",69,21
2020-05-11,"AB","AB",71,13
2020-05-11,"ON","ON",961,195
2020-05-11,"QC","QC",1632,199
2020-05-11,"NS","NS",9,3
2020-05-11,"NB","NB",13,0
2020-05-11,"MB","MB",4,1
2020-05-11,"PE","PEI",0,0
2020-05-11,"SK","SK",12,4
2020-05-11,"NL","NL",4,2
2020-05-11,"NT","NT",0,0
2020-05-11,"YT","YT",0,0
2020-05-11,"NU","NU",0,0
2020-05-13,"CAN","CAN",2844,420
2020-05-13,"BC","BC",63,16
2020-05-13,"AB","AB",73,12
2020-05-13,"ON","ON",1025,192
2020-05-13,"QC","QC",1655,186
2020-05-13,"NS","NS",9,4
2020-05-13,"NB","NB",0,0
2020-05-13,"MB","MB",4,1
2020-05-13,"PE","PEI",0,0
2020-05-13,"SK","SK",11,8
2020-05-13,"NL","NL",4,1
2020-05-13,"NT","NT",0,0
2020-05-13,"YT","YT",0,0
2020-05-13,"NU","NU",0,0
2020-05-15,"CAN","CAN",2818,406
2020-05-15,"BC","BC",58,12
2020-05-15,"AB","AB",65,10
2020-05-15,"ON","ON",1026,184
2020-05-15,"QC","QC",1644,190
2020-05-15,"NS","NS",9,5
2020-05-15,"NB","NB",0,0
2020-05-15,"MB","MB",3,1
2020-05-15,"PE","PEI",0,0
2020-05-15,"SK","SK",10,3
2020-05-15,"NL","NL",3,1
2020-05-15,"NT","NT",0,0
2020-05-15,"YT","YT",0,0
2020-05-15,"NU","NU",0,0
2020-05-19,"CAN","CAN",2694,383
2020-05-19,"BC","BC",47,12
2020-05-19,"AB","AB",65,9
2020-05-19,"ON","ON",972,174
2020-05-19,"QC","QC",1592,179
2020-05-19,"NS","NS",9,5
2020-05-19,"NB","NB",0,0
2020-05-19,"MB","MB",1,0
2020-05-19,"PE","PEI",0,0
2020-05-19,"SK","SK",5,3
2020-05-19,"NL","NL",3,1
2020-05-19,"NT","NT",0,0
2020-05-19,"YT","YT",0,0
2020-05-19,"NU","NU",0,0
2020-05-21,"CAN","CAN",2441,368
2020-05-21,"BC","BC",43,10
2020-05-21,"AB","AB",58,7
2020-05-21,"ON","ON",991,160
2020-05-21,"QC","QC",1333,183
2020-05-21,"NS","NS",8,4
2020-05-21,"NB","NB",0,0
2020-05-21,"MB","MB",1,0
2020-05-21,"PE","PEI",0,0
2020-05-21,"SK","SK",4,3
2020-05-21,"NL","NL",3,1
2020-05-21,"NT","NT",0,0
2020-05-21,"YT","YT",0,0
2020-05-21,"NU","NU",0,0
2020-05-25,"CAN","CAN",2244,339
2020-05-25,"BC","BC",41,8
2020-05-25,"AB","AB",46,6
2020-05-25,"ON","ON",878,148
2020-05-25,"QC","QC",1265,170
2020-05-25,"NS","NS",6,3
2020-05-25,"NB","NB",0,0
2020-05-25,"MB","MB",0,0
2020-05-25,"PE","PEI",0,0
2020-05-25,"SK","SK",5,3
2020-05-25,"NL","NL",3,1
2020-05-25,"NT","NT",0,0
2020-05-25,"YT","YT",0,0
2020-05-25,"NU","NU",0,0
2020-05-27,"CAN","CAN",2137,346
2020-05-27,"BC","BC",37,7
2020-05-27,"AB","AB",45,5
2020-05-27,"ON","ON",848,143
2020-05-27,"QC","QC",1194,184
2020-05-27,"NS","NS",7,3
2020-05-27,"NB","NB",0,0
2020-05-27,"MB","MB",0,0
2020-05-27,"PE","PEI",0,0
2020-05-27,"SK","SK",5,3
2020-05-27,"NL","NL",1,1
2020-05-27,"NT","NT",0,0
2020-05-27,"YT","YT",0,0
2020-05-27,"NU","NU",0,0
2020-05-29,"CAN","CAN",2022,324
2020-05-29,"BC","BC",33,6
2020-05-29,"AB","AB",50,4
2020-05-29,"ON","ON",833,137
2020-05-29,"QC","QC",1093,172
2020-05-29,"NS","NS",8,3
2020-05-29,"NB","NB",0,0
2020-05-29,"MB","MB",0,0
2020-05-29,"PE","PEI",0,0
2020-05-29,"SK","SK",4,1
2020-05-29,"NL","NL",1,1
2020-05-29,"NT","NT",0,0
2020-05-29,"YT","YT",0,0
2020-05-29,"NU","NU",0,0
2020-06-01,"CAN","CAN",1903,297
2020-06-01,"BC","BC",34,6
2020-06-01,"AB","AB",52,6
2020-06-01,"ON","ON",781,118
2020-06-01,"QC","QC",1022,163
2020-06-01,"NS","NS",6,2
2020-06-01,"NB","NB",3,1
2020-06-01,"MB","MB",0,0
2020-06-01,"PE","PEI",0,0
2020-06-01,"SK","SK",4,1
2020-06-01,"NL","NL",1,0
2020-06-01,"NT","NT",0,0
2020-06-01,"YT","YT",0,0
2020-06-01,"NU","NU",0,0
2020-06-03,"CAN","CAN",1877,301
2020-06-03,"BC","BC",31,8
2020-06-03,"AB","AB",51,6
2020-06-03,"ON","ON",801,125
2020-06-03,"QC","QC",983,158
2020-06-03,"NS","NS",3,1
2020-06-03,"NB","NB",5,1
2020-06-03,"MB","MB",0,0
2020-06-03,"PE","PEI",0,0
2020-06-03,"SK","SK",2,2
2020-06-03,"NL","NL",1,0
2020-06-03,"NT","NT",0,0
2020-06-03,"YT","YT",0,0
2020-06-03,"NU","NU",0,0
2020-06-05,"CAN","CAN",1760,269
2020-06-05,"BC","BC",26,6
2020-06-05,"AB","AB",48,6
2020-06-05,"ON","ON",776,121
2020-06-05,"QC","QC",899,131
2020-06-05,"NS","NS",3,2
2020-06-05,"NB","NB",5,1
2020-06-05,"MB","MB",0,0
2020-06-05,"PE","PEI",0,0
2020-06-05,"SK","SK",2,2
2020-06-05,"NL","NL",1,0
2020-06-05,"NT","NT",0,0
2020-06-05,"YT","YT",0,0
2020-06-05,"NU","NU",0,0
2020-06-08,"CAN","CAN",1567,252
2020-06-08,"BC","BC",21,5
2020-06-08,"AB","AB*",44,6
2020-06-08,"ON","ON",635,117
2020-06-08,"QC","QC",858,121
2020-06-08,"NS","NS",3,2
2020-06-08,"NB","NB",4,0
2020-06-08,"MB","MB",0,0
2020-06-08,"PE","PEI",0,0
2020-06-08,"SK","SK",1,1
2020-06-08,"NL","NL",1,0
2020-06-08,"NT","NT",0,0
2020-06-08,"YT","YT",0,0
2020-06-08,"NU","NU",0,0
2020-06-10,"CAN","CAN",1448,249
2020-06-10,"BC","BC",16,4
2020-06-10,"AB","AB",46,6
2020-06-10,"ON","ON",580,118
2020-06-10,"QC","QC",797,117
2020-06-10,"NS","NS",2,2
2020-06-10,"NB","NB",5,1
2020-06-10,"MB","MB",0,0
2020-06-10,"PE","PEI",0,0
2020-06-10,"SK","SK",1,1
2020-06-10,"NL","NL",1,0
2020-06-10,"NT","NT",0,0
2020-06-10,"YT","YT",0,0
2020-06-10,"NU","NU",0,0
2020-06-12,"CAN","CAN",1351,242
2020-06-12,"BC","BC",13,5
2020-06-12,"AB","AB",45,6
2020-06-12,"ON","ON",527,114
2020-06-12,"QC","QC",757,114
2020-06-12,"NS","NS",2,1
2020-06-12,"NB","NB",5,1
2020-06-12,"MB","MB",0,0
2020-06-12,"PE","PEI",0,0
2020-06-12,"SK","SK",1,1
2020-06-12,"NL","NL",1,0
2020-06-12,"NT","NT",0,0
2020-06-12,"YT","YT",0,0
2020-06-12,"NU","NU",0,0
2020-06-15,"CAN","CAN",1175,199
2020-06-15,"BC","BC",12,3
2020-06-15,"AB","AB",46,7
2020-06-15,"ON","ON",419,104
2020-06-15,"QC","QC",689,82
2020-06-15,"NS","NS",2,1
2020-06-15,"NB","NB",4,1
2020-06-15,"MB","MB",0,0
2020-06-15,"PE","PEI",0,0
2020-06-15,"SK","SK",2,1
2020-06-15,"NL","NL",1,0
2020-06-15,"NT","NT",0,0
2020-06-15,"YT","YT",0,0
2020-06-15,"NU","NU",0,0
2020-06-17,"CAN","CAN",1057,179
2020-06-17,"BC","BC",11,5
2020-06-17,"AB","AB",36,7
2020-06-17,"ON","ON",383,92
2020-06-17,"QC","QC",618,72
2020-06-17,"NS","NS",2,1
2020-06-17,"NB","NB",4,1
2020-06-17,"MB","MB",0,0
2020-06-17,"PE","PEI",0,0
2020-06-17,"SK","SK",3,1
2020-06-17,"NL","NL",0,0
2020-06-17,"NT","NT",0,0
2020-06-17,"YT","YT",0,0
2020-06-17,"NU","NU",0,0
2020-06-19,"CAN","CAN",953,161
2020-06-19,"BC","BC",10,5
2020-06-19,"AB","AB",34,6
2020-06-19,"ON","ON",331,82
2020-06-19,"QC","QC",572,65
2020-06-19,"NS","NS",2,1
2020-06-19,"NB","NB",2,1
2020-06-19,"MB","MB",0,0
2020-06-19,"PE","PEI",0,0
2020-06-19,"SK","SK",2,1
2020-06-19,"NL","NL",0,0
2020-06-19,"NT","NT",0,0
2020-06-19,"YT","YT",0,0
2020-06-19,"NU","NU",0,0
2020-06-22,"CAN","CAN",778,150
2020-06-22,"BC","BC",11,6
2020-06-22,"AB","AB",33,7
2020-06-22,"ON","ON",265,76
2020-06-22,"QC","QC",463,57
2020-06-22,"NS","NS",1,0
2020-06-22,"NB","NB",2,1
2020-06-22,"MB","MB",0,0
2020-06-22,"PE","PEI",0,0
2020-06-22,"SK","SK",3,3
2020-06-22,"NL","NL",0,0
2020-06-22,"NT","NT",0,0
2020-06-22,"YT","YT",0,0
2020-06-22,"NU","NU",0,0
2020-06-24,"CAN","CAN",588,119
2020-06-24,"BC","BC*",11,6
2020-06-24,"AB","AB",37,6
2020-06-24,"ON","ON",73,48
2020-06-24,"QC","QC",459,56
2020-06-24,"NS","NS",2,1
2020-06-24,"NB","NB",2,1
2020-06-24,"MB","MB",0,0
2020-06-24,"PE","PEI",0,0
2020-06-24,"SK","SK",4,1
2020-06-24,"NL","NL",0,0
2020-06-24,"NT","NT",0,0
2020-06-24,"YT","YT",0,0
2020-06-24,"NU","NU",0,0
2020-06-26,"CAN","CAN",759,129
2020-06-26,"BC","BC",15,7
2020-06-26,"AB","AB",38,8
2020-06-26,"ON","ON",256,61
2020-06-26,"QC","QC",437,50
2020-06-26,"NS","NS",2,0
2020-06-26,"NB","NB",2,1
2020-06-26,"MB","MB",0,0
2020-06-26,"PE","PEI",0,0
2020-06-26,"SK","SK",9,2
2020-06-26,"NL","NL",0,0
2020-06-26,"NT","NT",0,0
2020-06-26,"YT","YT",0,0
2020-06-26,"NU","NU",0,0
2020-06-29,"CAN","CAN",712,105
2020-06-29,"BC","BC*",17,5
2020-06-29,"AB","AB",43,8
2020-06-29,"ON","ON",232,46
2020-06-29,"QC","QC",410,45
2020-06-29,"NS","NS",2,0
2020-06-29,"NB","NB",2,1
2020-06-29,"MB","MB",0,0
2020-06-29,"PE","PEI",0,0
2020-06-29,"SK","SK",6,0
2020-06-29,"NL","NL",0,0
2020-06-29,"NT","NT**",0,0
2020-06-29,"YT","YT***",0,0
2020-06-29,"NU","NU",0,0
2020-07-06,"CAN","CAN",532,74
2020-07-06,"BC","BC1",19,2
2020-07-06,"AB","AB2*",44,8
2020-07-06,"ON","ON",118,36
2020-07-06,"QC","QC3",345,25
2020-07-06,"NS","NS",2,0
2020-07-06,"NB","NB4",0,0
2020-07-06,"MB","MB5",0,0
2020-07-06,"PE","PEI6",0,0
2020-07-06,"SK","SK7",4,3
2020-07-06,"NL","NL",0,0
2020-07-06,"NT","NT8",0,0
2020-07-06,"YT","YT9",0,0
2020-07-06,"NU","NU10",0,0
2020-07-08,"CAN","CAN",503,72
2020-07-08,"BC","BC",16,4
2020-07-08,"AB","AB",54,6
2020-07-08,"ON","ON",123,35
2020-07-08,"QC","QC",304,27
2020-07-08,"NS","NS",2,0
2020-07-08,"NB","NB",0,0
2020-07-08,"MB","MB",0,0
2020-07-08,"PE","PEI",0,0
2020-07-08,"SK","SK",4,0
2020-07-08,"NL","NL",0,0
2020-07-08,"NT","NT",0,0
2020-07-08,"YT","YT",0,0
2020-07-08,"NU","NU",0,0
2020-07-10,"CAN","CAN",479,70
2020-07-10,"BC","BC",17,4
2020-07-10,"AB","AB",46,7
2020-07-10,"ON","ON",117,34
2020-07-10,"QC","QC",293,24
2020-07-10,"NS","NS",1,0
2020-07-10,"NB","NB",0,0
2020-07-10,"MB","MB",0,0
2020-07-10,"PE","PEI",0,0
2020-07-10,"SK","SK",5,1
2020-07-10,"NL","NL",0,0
2020-07-10,"NT","NT",0,0
2020-07-10,"YT","YT",0,0
2020-07-10,"NU","NU",0,0
2020-07-13,"CAN","CAN",459,64
2020-07-13,"BC","BC",16,5
2020-07-13,"AB","AB",50,9
2020-07-13,"ON","ON",104,28
2020-07-13,"QC","QC",284,21
2020-07-13,"NS","NS",1,0
2020-07-13,"NB","NB",0,0
2020-07-13,"MB","MB",0,0
2020-07-13,"PE","PEI",0,0
2020-07-13,"SK","SK",4,1
2020-07-13,"NL","NL",0,0
2020-07-13,"NT","NT",0,0
2020-07-13,"YT","YT",0,0
2020-07-13,"NU","NU",0,0
2020-07-15,"CAN","CAN",456,71
2020-07-15,"BC","BC",14,5
2020-07-15,"AB","AB",55,13
2020-07-15,"ON","ON",115,31
2020-07-15,"QC","QC",265,20
2020-07-15,"NS","NS",1,0
2020-07-15,"NB","NB",0,0
2020-07-15,"MB","MB",0,0
2020-07-15,"PE","PEI",0,0
2020-07-15,"SK","SK",6,2
2020-07-15,"NL","NL",0,0
2020-07-15,"NT","NT",0,0
2020-07-15,"YT","YT",0,0
2020-07-15,"NU","NU",0,0
2020-07-17,"CAN","CAN",446,61
2020-07-17,"BC","BC",14,5
2020-07-17,"AB","AB",69,8
2020-07-17,"ON","ON",108,30
2020-07-17,"QC","QC",244,16
2020-07-17,"NS","NS",0,0
2020-07-17,"NB","NB",0,0
2020-07-17,"MB","MB",0,0
2020-07-17,"PE","PEI",0,0
2020-07-17,"SK","SK",11,2
2020-07-17,"NL","NL",0,0
2020-07-17,"NT","NT",0,0
2020-07-17,"YT","YT",0,0
2020-07-17,"NU","NU",0,0
2020-07-20,"CAN","CAN",447,72
2020-07-20,"BC","BC",18,2
2020-07-20,"AB","AB",68,13
2020-07-20,"ON","ON",115,37
2020-07-20,"QC","QC",234,17
2020-07-20,"NS","NS",0,0
2020-07-20,"NB","NB",0,0
2020-07-20,"MB","MB",0,0
2020-07-20,"PE","PEI",0,0
2020-07-20,"SK","SK",12,3
2020-07-20,"NL","NL",0,0
2020-07-20,"NT","NT",0,0
2020-07-20,"YT","YT",0,0
2020-07-20,"NU","NU",0,0
2020-07-22,"CAN","CAN",467,75
2020-07-22,"BC","BC",15,3
2020-07-22,"AB","AB",93,16
2020-07-22,"ON","ON",128,37
2020-07-22,"QC","QC",219,16
2020-07-22,"NS","NS",0,0
2020-07-22,"NB","NB",0,0
2020-07-22,"MB","MB",0,0
2020-07-22,"PE","PEI",0,0
2020-07-22,"SK","SK",12,3
2020-07-22,"NL","NL",0,0
2020-07-22,"NT","NT",0,0
2020-07-22,"YT","YT",0,0
2020-07-22,"NU","NU",0,0
2020-07-24,"CAN","CAN",485,72
2020-07-24,"BC","BC",16,3
2020-07-24,"AB","AB",106,21
2020-07-24,"ON","ON",141,31
2020-07-24,"QC","QC",208,12
2020-07-24,"NS","NS",0,0
2020-07-24,"NB","NB",0,0
2020-07-24,"MB","MB",1,1
2020-07-24,"PE","PEI",0,0
2020-07-24,"SK","SK",13,4
2020-07-24,"NL","NL",0,0
2020-07-24,"NT","NT",0,0
2020-07-24,"YT","YT",0,0
2020-07-24,"NU","NU",0,0
2020-07-27,"CAN","CAN",385,64
2020-07-27,"BC","BC",12,3
2020-07-27,"AB","AB",83,18
2020-07-27,"ON","ON",82,30
2020-07-27,"QC","QC",193,7
2020-07-27,"NS","NS",0,0
2020-07-27,"NB","NB",0,0
2020-07-27,"MB","MB",2,2
2020-07-27,"PE","PEI",0,0
2020-07-27,"SK","SK",13,4
2020-07-27,"NL","NL",0,0
2020-07-27,"NT","NT",0,0
2020-07-27,"YT","YT",0,0
2020-07-27,"NU","NU",0,0
2020-07-29,"CAN","CAN",385,63
2020-07-29,"BC","BC",9,3
2020-07-29,"AB","AB",88,16
2020-07-29,"ON","ON",91,28
2020-07-29,"QC","QC",181,9
2020-07-29,"NS","NS",0,0
2020-07-29,"NB","NB",0,0
2020-07-29,"MB","MB",3,2
2020-07-29,"PE","PEI",0,0
2020-07-29,"SK","SK",13,5
2020-07-29,"NL","NL",0,0
2020-07-29,"NT","NT",0,0
2020-07-29,"YT","YT",0,0
2020-07-29,"NU","NU",0,0
2020-08-04,"CAN","CAN",341,78
2020-08-04,"BC","BC",5,2
2020-08-04,"AB","AB",86,17
2020-08-04,"ON","ON",78,28
2020-08-04,"QC","QC",148,21
2020-08-04,"NS","NS",0,0
2020-08-04,"NB","NB",0,0
2020-08-04,"MB","MB",9,4
2020-08-04,"PE","PEI",0,0
2020-08-04,"SK","SK",15,6
2020-08-04,"NL","NL",0,0
2020-08-04,"NT","NT",0,0
2020-08-04,"YT","YT",0,0
2020-08-04,"NU","NU",0,0
2020-08-05,"CAN","CAN",330,87
2020-08-05,"BC","BC",8,4
2020-08-05,"AB","AB",85,23
2020-08-05,"ON","ON",66,30
2020-08-05,"QC","QC",148,19
2020-08-05,"NS","NS",0,0
2020-08-05,"NB","NB",0,0
2020-08-05,"MB","MB",9,4
2020-08-05,"PE","PEI",0,0
2020-08-05,"SK","SK",14,7
2020-08-05,"NL","NL",0,0
2020-08-05,"NT","NT",0,0
2020-08-05,"YT","YT",0,0
2020-08-05,"NU","NU",0,0
2020-08-07,"CAN","CAN",314,83
2020-08-07,"BC","BC",11,5
2020-08-07,"AB","AB",76,19
2020-08-07,"ON","ON",71,29
2020-08-07,"QC","QC",133,19
2020-08-07,"NS","NS",0,0
2020-08-07,"NB","NB",0,0
2020-08-07,"MB","MB",10,5
2020-08-07,"PE","PEI",0,0
2020-08-07,"SK","SK",13,6
2020-08-07,"NL","NL",0,0
2020-08-07,"NT","NT",0,0
2020-08-07,"YT","YT",0,0
2020-08-07,"NU","NU",0,0
2020-08-10,"CAN","CAN",281,78
2020-08-10,"BC","BC",11,4
2020-08-10,"AB","AB",68,18
2020-08-10,"ON","ON",49,25
2020-08-10,"QC","QC",134,22
2020-08-10,"NS","NS",0,0
2020-08-10,"NB","NB",0,0
2020-08-10,"MB","MB",6,3
2020-08-10,"PE","PEI",0,0
2020-08-10,"SK","SK",13,6
2020-08-10,"NL","NL",0,0
2020-08-10,"NT","NT",0,0
2020-08-10,"YT","YT",0,0
2020-08-10,"NU","NU",0,0
2020-08-12,"CAN","CAN",266,67
2020-08-12,"BC","BC",8,5
2020-08-12,"AB","AB",62,14
2020-08-12,"ON","ON",49,20
2020-08-12,"QC","QC",131,20
2020-08-12,"NS","NS",0,0
2020-08-12,"NB","NB",0,0
2020-08-12,"MB","MB",5,3
2020-08-12,"PE","PEI",0,0
2020-08-12,"SK","SK",11,5
2020-08-12,"NL","NL",0,0
2020-08-12,"NT","NT",0,0
2020-08-12,"YT","YT",0,0
2020-08-12,"NU","NU",0,0
2020-08-14,"CAN","CAN",243,66
2020-08-14,"BC","BC",9,4
2020-08-14,"AB","AB",50,12
2020-08-14,"ON","ON",41,17
2020-08-14,"QC","QC",126,25
2020-08-14,"NS","NS",0,0
2020-08-14,"NB","NB",0,0
2020-08-14,"MB","MB",7,3
2020-08-14,"PE","PEI",0,0
2020-08-14,"SK","SK",10,5
2020-08-14,"NL","NL",0,0
2020-08-14,"NT","NT",0,0
2020-08-14,"YT","YT",0,0
2020-08-14,"NU","NU",0,0
2020-08-17,"CAN","CAN",238,67
2020-08-17,"BC","BC",12,4
2020-08-17,"AB","AB",48,13
2020-08-17,"ON","ON",37,18
2020-08-17,"QC","QC",124,25
2020-08-17,"NS","NS",0,0
2020-08-17,"NB","NB",0,0
2020-08-17,"MB","MB",9,3
2020-08-17,"PE","PEI",0,0
2020-08-17,"SK","SK",8,4
2020-08-17,"NL","NL",0,0
2020-08-17,"NT","NT",0,0
2020-08-17,"YT","YT",0,0
2020-08-17,"NU","NU",0,0
2020-08-19,"CAN","CAN",232,61
2020-08-19,"BC","BC",6,3
2020-08-19,"AB","AB",48,11
2020-08-19,"ON","ON",42,15
2020-08-19,"QC","QC",120,26
2020-08-19,"NS","NS",0,0
2020-08-19,"NB","NB",0,0
2020-08-19,"MB","MB",8,2
2020-08-19,"PE","PEI",0,0
2020-08-19,"SK","SK",8,4
2020-08-19,"NL","NL",0,0
2020-08-19,"NT","NT",0,0
2020-08-19,"YT","YT",0,0
2020-08-19,"NU","NU",0,0
2020-08-21,"CAN","CAN",224,62
2020-08-21,"BC","BC",11,4
2020-08-21,"AB","AB",43,12
2020-08-21,"ON","ON",35,15
2020-08-21,"QC","QC",121,25
2020-08-21,"NS","NS",1,0
2020-08-21,"NB","NB",0,0
2020-08-21,"MB","MB",8,2
2020-08-21,"PE","PEI",0,0
2020-08-21,"SK","SK",5,4
2020-08-21,"NL","NL",0,0
2020-08-21,"NT","NT",0,0
2020-08-21,"YT","YT",0,0
2020-08-21,"NU","NU",0,0
2020-08-24,"CAN","CAN",212,44
2020-08-24,"BC","BC",13,5
2020-08-24,"AB","AB",43,9
2020-08-24,"ON","ON",41,11
2020-08-24,"QC","QC",103,14
2020-08-24,"NS","NS",0,0
2020-08-24,"NB","NB",0,0
2020-08-24,"MB","MB",7,1
2020-08-24,"PE","PEI",0,0
2020-08-24,"SK","SK",5,4
2020-08-24,"NL","NL",0,0
2020-08-24,"NT","NT",0,0
2020-08-24,"YT","YT",0,0
2020-08-24,"NU","NU",0,0
2020-08-26,"CAN","CAN",221,45
2020-08-26,"BC","BC",22,7
2020-08-26,"AB","AB",46,7
2020-08-26,"ON","ON",43,15
2020-08-26,"QC","QC",98,12
2020-08-26,"NS","NS",0,0
2020-08-26,"NB","NB",0,0
2020-08-26,"MB","MB",8,1
2020-08-26,"PE","PEI",0,0
2020-08-26,"SK","SK",4,3
2020-08-26,"NL","NL",0,0
2020-08-26,"NT","NT",0,0
2020-08-26,"YT","YT",0,0
2020-08-26,"NU","NU",0,0
2020-08-28,"CAN","CAN",241,50
2020-08-28,"BC","BC",22,7
2020-08-28,"AB","AB",49,7
2020-08-28,"ON","ON",61,18
2020-08-28,"QC","QC",100,15
2020-08-28,"NS","NS",0,0
2020-08-28,"NB","NB",0,0
2020-08-28,"MB","MB",6,1
2020-08-28,"PE","PEI",0,0
2020-08-28,"SK","SK",3,2
2020-08-28,"NL","NL",0,0
2020-08-28,"NT","NT",0,0
2020-08-28,"YT","YT",0,0
2020-08-28,"NU","NU",0,0
2020-08-31,"CAN","CAN",219,52
2020-08-31,"BC","BC",23,7
2020-08-31,"AB","AB",44,7
2020-08-31,"ON","ON",49,18
2020-08-31,"QC","QC",94,18
2020-08-31,"NS","NS",0,0
2020-08-31,"NB","NB",0,0
