"name","region","sub_region_1","date","value","value_daily"
"deaths","AB","4831","2020-03-08",0,0
"deaths","AB","4832","2020-03-08",0,0
"deaths","AB","4833","2020-03-08",0,0
"deaths","AB","4834","2020-03-08",0,0
"deaths","AB","4835","2020-03-08",0,0
"deaths","AB","9999","2020-03-08",0,0
"deaths","AB","4831","2020-03-09",0,0
"deaths","AB","4832","2020-03-09",0,0
"deaths","AB","4833","2020-03-09",0,0
"deaths","AB","4834","2020-03-09",0,0
"deaths","AB","4835","2020-03-09",0,0
"deaths","AB","9999","2020-03-09",0,0
"deaths","AB","4831","2020-03-10",0,0
"deaths","AB","4832","2020-03-10",0,0
"deaths","AB","4833","2020-03-10",0,0
"deaths","AB","4834","2020-03-10",0,0
"deaths","AB","4835","2020-03-10",0,0
"deaths","AB","9999","2020-03-10",0,0
"deaths","AB","4831","2020-03-11",0,0
"deaths","AB","4832","2020-03-11",0,0
"deaths","AB","4833","2020-03-11",0,0
"deaths","AB","4834","2020-03-11",0,0
"deaths","AB","4835","2020-03-11",0,0
"deaths","AB","9999","2020-03-11",0,0
"deaths","AB","4831","2020-03-12",0,0
"deaths","AB","4832","2020-03-12",0,0
"deaths","AB","4833","2020-03-12",0,0
"deaths","AB","4834","2020-03-12",0,0
"deaths","AB","4835","2020-03-12",0,0
"deaths","AB","9999","2020-03-12",0,0
"deaths","AB","4831","2020-03-13",0,0
"deaths","AB","4832","2020-03-13",0,0
"deaths","AB","4833","2020-03-13",0,0
"deaths","AB","4834","2020-03-13",0,0
"deaths","AB","4835","2020-03-13",0,0
"deaths","AB","9999","2020-03-13",0,0
"deaths","AB","4831","2020-03-14",0,0
"deaths","AB","4832","2020-03-14",0,0
"deaths","AB","4833","2020-03-14",0,0
"deaths","AB","4834","2020-03-14",0,0
"deaths","AB","4835","2020-03-14",0,0
"deaths","AB","9999","2020-03-14",0,0
"deaths","AB","4831","2020-03-15",0,0
"deaths","AB","4832","2020-03-15",0,0
"deaths","AB","4833","2020-03-15",0,0
"deaths","AB","4834","2020-03-15",0,0
"deaths","AB","4835","2020-03-15",0,0
"deaths","AB","9999","2020-03-15",0,0
"deaths","AB","4831","2020-03-16",0,0
"deaths","AB","4832","2020-03-16",0,0
"deaths","AB","4833","2020-03-16",0,0
"deaths","AB","4834","2020-03-16",0,0
"deaths","AB","4835","2020-03-16",0,0
"deaths","AB","9999","2020-03-16",0,0
"deaths","AB","4831","2020-03-17",0,0
"deaths","AB","4832","2020-03-17",0,0
"deaths","AB","4833","2020-03-17",0,0
"deaths","AB","4834","2020-03-17",0,0
"deaths","AB","4835","2020-03-17",0,0
"deaths","AB","9999","2020-03-17",0,0
"deaths","AB","4831","2020-03-18",0,0
"deaths","AB","4832","2020-03-18",0,0
"deaths","AB","4833","2020-03-18",0,0
"deaths","AB","4834","2020-03-18",0,0
"deaths","AB","4835","2020-03-18",0,0
"deaths","AB","9999","2020-03-18",0,0
"deaths","AB","4831","2020-03-19",0,0
"deaths","AB","4832","2020-03-19",0,0
"deaths","AB","4833","2020-03-19",0,0
"deaths","AB","4834","2020-03-19",1,1
"deaths","AB","4835","2020-03-19",0,0
"deaths","AB","9999","2020-03-19",0,0
"deaths","AB","4831","2020-03-20",0,0
"deaths","AB","4832","2020-03-20",0,0
"deaths","AB","4833","2020-03-20",0,0
"deaths","AB","4834","2020-03-20",1,0
"deaths","AB","4835","2020-03-20",0,0
"deaths","AB","9999","2020-03-20",0,0
"deaths","AB","4831","2020-03-21",0,0
"deaths","AB","4832","2020-03-21",0,0
"deaths","AB","4833","2020-03-21",0,0
"deaths","AB","4834","2020-03-21",1,0
"deaths","AB","4835","2020-03-21",0,0
"deaths","AB","9999","2020-03-21",0,0
"deaths","AB","4831","2020-03-22",0,0
"deaths","AB","4832","2020-03-22",0,0
"deaths","AB","4833","2020-03-22",0,0
"deaths","AB","4834","2020-03-22",1,0
"deaths","AB","4835","2020-03-22",0,0
"deaths","AB","9999","2020-03-22",0,0
"deaths","AB","4831","2020-03-23",0,0
"deaths","AB","4832","2020-03-23",0,0
"deaths","AB","4833","2020-03-23",0,0
"deaths","AB","4834","2020-03-23",1,0
"deaths","AB","4835","2020-03-23",0,0
"deaths","AB","9999","2020-03-23",0,0
"deaths","AB","4831","2020-03-24",0,0
"deaths","AB","4832","2020-03-24",1,1
"deaths","AB","4833","2020-03-24",0,0
"deaths","AB","4834","2020-03-24",1,0
"deaths","AB","4835","2020-03-24",0,0
"deaths","AB","9999","2020-03-24",0,0
"deaths","AB","4831","2020-03-25",0,0
