"name","region","date_current","value_current","date_previous","value_previous","date_diff","value_diff"
"vaccine_coverage_dose_3","AB","2023-09-10",40.3,"2023-12-03",40.3,-84,0
"vaccine_coverage_dose_3","BC","2023-09-10",55.6,"2023-12-03",55.6,-84,0
"vaccine_coverage_dose_3","MB","2023-09-10",45.8,"2023-12-03",45.8,-84,0
"vaccine_coverage_dose_3","NB","2023-09-10",50.8,"2023-12-03",50.8,-84,0
"vaccine_coverage_dose_3","NL","2023-09-10",59.1,"2023-12-03",59.1,-84,0
"vaccine_coverage_dose_3","NS","2023-09-10",52.4,"2023-12-03",52.4,-84,0
"vaccine_coverage_dose_3","NT","2023-09-10",45.6,"2023-12-03",45.6,-84,0
"vaccine_coverage_dose_3","NU","2023-09-10",39.3,"2023-12-03",39.3,-84,0
"vaccine_coverage_dose_3","ON","2023-09-10",51,"2023-12-03",51,-84,0
"vaccine_coverage_dose_3","PE","2023-09-10",52,"2023-12-03",52,-84,0
"vaccine_coverage_dose_3","QC","2022-07-17",51.8,"2022-09-11",37,-56,14.8
"vaccine_coverage_dose_3","SK","2023-09-10",44.7,"2023-12-03",44.7,-84,0
"vaccine_coverage_dose_3","YT","2023-09-10",50,"2023-12-03",50,-84,0
