"name","region","date_current","value_current","date_previous","value_previous","date_diff","value_diff"
"vaccine_coverage_dose_4","AB","2023-03-26",18.5,"2023-02-26",18.3,28,0.2
"vaccine_coverage_dose_4","BC","2023-03-26",31.9,"2023-02-26",31.8,28,0.1
"vaccine_coverage_dose_4","MB","2023-03-26",22.7,"2023-02-26",22.5,28,0.2
"vaccine_coverage_dose_4","NB","2023-03-26",24.6,"2023-02-26",24.4,28,0.2
"vaccine_coverage_dose_4","NL","2023-03-26",26.7,"2023-02-26",26.5,28,0.2
"vaccine_coverage_dose_4","NS","2023-03-26",27.4,"2023-02-26",27,28,0.4
"vaccine_coverage_dose_4","NT","2023-03-26",15.9,"2023-02-26",15.9,28,0
"vaccine_coverage_dose_4","NU","2023-03-26",8.6,"2023-02-26",8.6,28,0
"vaccine_coverage_dose_4","ON","2023-03-26",23.9,"2023-02-26",23.8,28,0.1
"vaccine_coverage_dose_4","PE","2023-03-26",26.9,"2023-02-26",26.7,28,0.2
"vaccine_coverage_dose_4","QC","2022-09-11",14.7,"2022-08-14",14.7,28,0
"vaccine_coverage_dose_4","SK","2023-03-26",22,"2023-02-26",21.9,28,0.1
"vaccine_coverage_dose_4","YT","2023-03-26",24.6,"2023-02-26",24.4,28,0.2
