"name","region","date_current","value_current","date_previous","value_previous","date_diff","value_diff"
"vaccine_distribution_total_doses","AB","2023-07-14",14764349,"",,,
"vaccine_distribution_total_doses","BC","2023-07-14",17914170,"",,,
"vaccine_distribution_total_doses","MB","2023-07-14",4654358,"",,,
"vaccine_distribution_total_doses","NB","2023-07-14",2509845,"",,,
"vaccine_distribution_total_doses","NL","2023-07-14",2133894,"",,,
"vaccine_distribution_total_doses","NS","2023-07-14",3072282,"",,,
"vaccine_distribution_total_doses","NT","2023-07-14",142950,"",,,
"vaccine_distribution_total_doses","NU","2023-07-14",134820,"",,,
"vaccine_distribution_total_doses","ON","2023-07-14",45171271,"",,,
"vaccine_distribution_total_doses","PE","2023-07-14",525415,"",,,
"vaccine_distribution_total_doses","QC","2023-07-14",26217047,"",,,
"vaccine_distribution_total_doses","SK","2023-07-14",3879825,"",,,
"vaccine_distribution_total_doses","YT","2023-07-14",138720,"",,,
