"name","region","date_current","value_current","date_previous","value_previous","date_diff","value_diff"
"vaccine_administration_dose_1","AB","2023-12-02",3654007,"2023-09-09",3652970,84,1037
"vaccine_administration_dose_1","BC","2023-12-02",4480129,"2023-09-09",4477601,84,2528
"vaccine_administration_dose_1","MB","2023-12-02",1166473,"2023-09-09",1165867,84,606
"vaccine_administration_dose_1","NB","2023-12-02",706301,"2023-09-09",706181,84,120
"vaccine_administration_dose_1","NL","2023-12-02",491545,"2023-09-09",491424,84,121
"vaccine_administration_dose_1","NS","2023-12-02",893592,"2023-09-09",893478,84,114
"vaccine_administration_dose_1","NT","2023-12-02",43517,"2023-09-09",43493,84,24
"vaccine_administration_dose_1","NU","2023-12-02",33025,"2023-09-09",33020,84,5
"vaccine_administration_dose_1","ON","2023-12-02",12512074,"2023-09-09",12508251,84,3823
"vaccine_administration_dose_1","PE","2023-12-02",148220,"2023-09-09",148172,84,48
"vaccine_administration_dose_1","QC","2023-12-02",7385630,"2023-09-09",7375087,84,10543
"vaccine_administration_dose_1","SK","2023-12-02",986466,"2023-09-09",985580,84,886
"vaccine_administration_dose_1","YT","2023-12-02",37922,"2023-09-09",37944,84,-22
