"name","region","date_current","value_current","date_previous","value_previous","date_diff","value_diff"
"vaccine_administration_dose_2","AB","2023-12-02",3456585,"2023-09-09",3455392,84,1193
"vaccine_administration_dose_2","BC","2023-12-02",4316225,"2023-09-09",4313644,84,2581
"vaccine_administration_dose_2","MB","2023-12-02",1116185,"2023-09-09",1115533,84,652
"vaccine_administration_dose_2","NB","2023-12-02",666939,"2023-09-09",666818,84,121
"vaccine_administration_dose_2","NL","2023-12-02",476518,"2023-09-09",476408,84,110
"vaccine_administration_dose_2","NS","2023-12-02",850351,"2023-09-09",850026,84,325
"vaccine_administration_dose_2","NT","2023-12-02",39251,"2023-09-09",39234,84,17
"vaccine_administration_dose_2","NU","2023-12-02",30726,"2023-09-09",30713,84,13
"vaccine_administration_dose_2","ON","2023-12-02",12052525,"2023-09-09",12049245,84,3280
"vaccine_administration_dose_2","PE","2023-12-02",142721,"2023-09-09",142689,84,32
"vaccine_administration_dose_2","QC","2023-12-02",7087265,"2023-09-09",7082338,84,4927
"vaccine_administration_dose_2","SK","2023-12-02",923819,"2023-09-09",922925,84,894
"vaccine_administration_dose_2","YT","2023-12-02",36991,"2023-09-09",36994,84,-3
