"name","region","date_current","value_current","date_previous","value_previous","date_diff","value_diff"
"vaccine_administration_dose_5plus","AB","2023-12-02",301169,"2023-09-09",286640,84,14529
"vaccine_administration_dose_5plus","BC","2023-12-02",927773,"2023-09-09",871466,84,56307
"vaccine_administration_dose_5plus","MB","2023-12-02",151269,"2023-09-09",143547,84,7722
"vaccine_administration_dose_5plus","NB","2023-12-02",104589,"2023-09-09",98286,84,6303
"vaccine_administration_dose_5plus","NL","2023-12-02",59550,"2023-09-09",55540,84,4010
"vaccine_administration_dose_5plus","NS","2023-12-02",117077,"2023-09-09",111790,84,5287
"vaccine_administration_dose_5plus","NT","2023-12-02",1885,"2023-09-09",1757,84,128
"vaccine_administration_dose_5plus","NU","2023-12-02",969,"2023-09-09",902,84,67
"vaccine_administration_dose_5plus","ON","2023-12-02",2016047,"2023-09-09",1908703,84,107344
"vaccine_administration_dose_5plus","PE","2023-12-02",20670,"2023-09-09",20540,84,130
"vaccine_administration_dose_5plus","QC","2023-12-02",2569778,"2023-09-09",1395097,84,1174681
"vaccine_administration_dose_5plus","SK","2023-12-02",145520,"2023-09-09",140499,84,5021
"vaccine_administration_dose_5plus","YT","2023-12-02",4412,"2023-09-09",3189,84,1223
