"name","region","date_current","value_current","date_previous","value_previous","date_diff","value_diff"
"vaccine_administration_dose_3","AB","2023-12-02",1831501,"2023-09-09",1829190,84,2311
"vaccine_administration_dose_3","BC","2023-12-02",2970279,"2023-09-09",2967991,84,2288
"vaccine_administration_dose_3","MB","2023-12-02",657271,"2023-09-09",656225,84,1046
"vaccine_administration_dose_3","NB","2023-12-02",412294,"2023-09-09",411958,84,336
"vaccine_administration_dose_3","NL","2023-12-02",308065,"2023-09-09",307908,84,157
"vaccine_administration_dose_3","NS","2023-12-02",554399,"2023-09-09",554081,84,318
"vaccine_administration_dose_3","NT","2023-12-02",20614,"2023-09-09",20597,84,17
"vaccine_administration_dose_3","NU","2023-12-02",17027,"2023-09-09",17008,84,19
"vaccine_administration_dose_3","ON","2023-12-02",7765122,"2023-09-09",7759983,84,5139
"vaccine_administration_dose_3","PE","2023-12-02",87802,"2023-09-09",87767,84,35
"vaccine_administration_dose_3","QC","2023-12-02",4701295,"2023-09-09",4677584,84,23711
"vaccine_administration_dose_3","SK","2023-12-02",534215,"2023-09-09",533272,84,943
"vaccine_administration_dose_3","YT","2023-12-02",21782,"2023-09-09",21783,84,-1
