"name","region","date","value_daily"
"icu_admissions","AB","2023-03-25",13
"icu_admissions","AB","2023-04-01",6
"icu_admissions","AB","2023-04-08",5
"icu_admissions","AB","2023-04-15",5
"icu_admissions","AB","2023-04-22",14
"icu_admissions","AB","2023-04-29",15
"icu_admissions","AB","2023-05-06",7
"icu_admissions","AB","2023-05-13",10
"icu_admissions","AB","2023-05-20",4
"icu_admissions","AB","2023-05-27",3
"icu_admissions","AB","2023-06-03",4
"icu_admissions","AB","2023-06-10",2
"icu_admissions","AB","2023-06-17",2
"icu_admissions","AB","2023-06-24",5
"icu_admissions","AB","2023-07-01",1
"icu_admissions","AB","2023-07-08",1
"icu_admissions","AB","2023-07-15",2
"icu_admissions","AB","2023-07-22",3
"icu_admissions","AB","2023-07-29",1
"icu_admissions","AB","2023-08-05",4
"icu_admissions","AB","2023-08-12",3
"icu_admissions","AB","2023-08-19",7
"icu_admissions","AB","2023-08-26",2
"icu_admissions","AB","2023-09-02",2
"icu_admissions","AB","2023-09-09",10
"icu_admissions","AB","2023-09-16",4
"icu_admissions","AB","2023-09-23",6
"icu_admissions","AB","2023-09-30",13
"icu_admissions","AB","2023-10-07",13
"icu_admissions","AB","2023-10-14",10
"icu_admissions","AB","2023-10-21",15
"icu_admissions","AB","2023-10-28",11
"icu_admissions","AB","2023-11-04",10
"icu_admissions","AB","2023-11-11",11
"icu_admissions","AB","2023-11-18",13
"icu_admissions","AB","2023-11-25",15
"icu_admissions","AB","2023-12-02",20
"icu_admissions","AB","2023-12-09",17
"icu_admissions","AB","2023-12-16",15
"icu_admissions","AB","2023-12-23",11
"icu_admissions","AB","2023-12-30",6
"icu_admissions","AB","2024-01-06",6
"icu_admissions","AB","2024-01-13",6
"icu_admissions","AB","2024-01-20",9
"icu_admissions","AB","2024-01-27",5
"icu_admissions","AB","2024-02-03",7
"icu_admissions","AB","2024-02-10",5
