"date","source","date_start","date_end","region","sub_region_1","cases","cases_previous_week","deaths","tests_completed","active_hospitalizations","active_hospitalizations_previous_week","active_icu","active_icu_previous_week","average_daily_new_hospitalizations_past_7_days","average_daily_new_hospitalizations_past_7_days_previous_week"
"2022-02-10","https://pubsaskdev.blob.core.windows.net/pubsask-prod/133268/Integrated%252BEpi%252BSit%252BReport-Jan%252B30-Feb%252B5.pdf","2022-01-30","2022-02-05","SK","Regina",1284,,4,,,,,,,
"2022-02-10","https://pubsaskdev.blob.core.windows.net/pubsask-prod/133268/Integrated%252BEpi%252BSit%252BReport-Jan%252B30-Feb%252B5.pdf","2022-01-30","2022-02-05","SK","South West",153,,0,,,,,,,
"2022-02-10","https://pubsaskdev.blob.core.windows.net/pubsask-prod/133268/Integrated%252BEpi%252BSit%252BReport-Jan%252B30-Feb%252B5.pdf","2022-01-30","2022-02-05","SK","South Central",316,,0,,,,,,,
"2022-02-10","https://pubsaskdev.blob.core.windows.net/pubsask-prod/133268/Integrated%252BEpi%252BSit%252BReport-Jan%252B30-Feb%252B5.pdf","2022-01-30","2022-02-05","SK","South East",405,,4,,,,,,,
"2022-02-10","https://pubsaskdev.blob.core.windows.net/pubsask-prod/133268/Integrated%252BEpi%252BSit%252BReport-Jan%252B30-Feb%252B5.pdf","2022-01-30","2022-02-05","SK","Unknown",215,,0,,,,,,,
"2022-02-17","https://publications.saskatchewan.ca/api/v1/products/116760/formats/133554/download","2022-02-06","2022-02-12","SK",,2522,,42,12079,,,,,,
"2022-02-17","https://publications.saskatchewan.ca/api/v1/products/116760/formats/133554/download","2022-02-06","2022-02-12","SK","Far North West",46,,0,,,,,,,
"2022-02-17","https://publications.saskatchewan.ca/api/v1/products/116760/formats/133554/download","2022-02-06","2022-02-12","SK","Far North Central",3,,0,,,,,,,
"2022-02-17","https://publications.saskatchewan.ca/api/v1/products/116760/formats/133554/download","2022-02-06","2022-02-12","SK","Far North East",35,,0,,,,,,,
"2022-02-17","https://publications.saskatchewan.ca/api/v1/products/116760/formats/133554/download","2022-02-06","2022-02-12","SK","North West",176,,6,,,,,,,
"2022-02-17","https://publications.saskatchewan.ca/api/v1/products/116760/formats/133554/download","2022-02-06","2022-02-12","SK","North Central",247,,6,,,,,,,
"2022-02-17","https://publications.saskatchewan.ca/api/v1/products/116760/formats/133554/download","2022-02-06","2022-02-12","SK","North East",56,,3,,,,,,,
"2022-02-17","https://publications.saskatchewan.ca/api/v1/products/116760/formats/133554/download","2022-02-06","2022-02-12","SK","Saskatoon",603,,7,,,,,,,
"2022-02-17","https://publications.saskatchewan.ca/api/v1/products/116760/formats/133554/download","2022-02-06","2022-02-12","SK","Central West",58,,0,,,,,,,
"2022-02-17","https://publications.saskatchewan.ca/api/v1/products/116760/formats/133554/download","2022-02-06","2022-02-12","SK","Central East",260,,7,,,,,,,
"2022-02-17","https://publications.saskatchewan.ca/api/v1/products/116760/formats/133554/download","2022-02-06","2022-02-12","SK","Regina",501,,9,,,,,,,
"2022-02-17","https://publications.saskatchewan.ca/api/v1/products/116760/formats/133554/download","2022-02-06","2022-02-12","SK","South West",83,,1,,,,,,,
"2022-02-17","https://publications.saskatchewan.ca/api/v1/products/116760/formats/133554/download","2022-02-06","2022-02-12","SK","South Central",124,,0,,,,,,,
"2022-02-17","https://publications.saskatchewan.ca/api/v1/products/116760/formats/133554/download","2022-02-06","2022-02-12","SK","South East",230,,3,,,,,,,
"2022-02-17","https://publications.saskatchewan.ca/api/v1/products/116760/formats/133554/download","2022-02-06","2022-02-12","SK","Unknown",100,,0,,,,,,,
"2022-02-24","https://publications.saskatchewan.ca/api/v1/products/116896/formats/133771/download","2022-02-13","2022-02-19","SK",,1407,,37,9142,,,,,,
"2022-02-24","https://publications.saskatchewan.ca/api/v1/products/116896/formats/133771/download","2022-02-13","2022-02-19","SK","Far North West",53,,0,,,,,,,
