"date","source","date_start","date_end","region","sub_region_1","cases","deaths","new_hospitalizations","new_icu","positivity_rate"
"2022-07-21","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136146/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly%252B21%252B2022.pdf","2022-06-26","2022-07-16","SK",,628,22,229,15,4
"2022-07-21","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136146/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly%252B21%252B2022.pdf","2022-06-26","2022-07-16","SK","Far North West",,,,,3.3
"2022-07-21","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136146/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly%252B21%252B2022.pdf","2022-06-26","2022-07-16","SK","Far North Central",,,,,0
"2022-07-21","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136146/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly%252B21%252B2022.pdf","2022-06-26","2022-07-16","SK","Far North East",,,,,2.8
"2022-07-21","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136146/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly%252B21%252B2022.pdf","2022-06-26","2022-07-16","SK","North West",,,,,6.3
"2022-07-21","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136146/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly%252B21%252B2022.pdf","2022-06-26","2022-07-16","SK","North Central",,,,,3.9
"2022-07-21","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136146/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly%252B21%252B2022.pdf","2022-06-26","2022-07-16","SK","North East",,,,,1.9
"2022-07-21","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136146/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly%252B21%252B2022.pdf","2022-06-26","2022-07-16","SK","Saskatoon",,,,,5.6
"2022-07-21","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136146/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly%252B21%252B2022.pdf","2022-06-26","2022-07-16","SK","Central West",,,,,9.5
"2022-07-21","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136146/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly%252B21%252B2022.pdf","2022-06-26","2022-07-16","SK","Central East",,,,,4.5
"2022-07-21","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136146/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly%252B21%252B2022.pdf","2022-06-26","2022-07-16","SK","Regina",,,,,7.7
"2022-07-21","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136146/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly%252B21%252B2022.pdf","2022-06-26","2022-07-16","SK","South West",,,,,6.9
"2022-07-21","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136146/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly%252B21%252B2022.pdf","2022-06-26","2022-07-16","SK","South Central",,,,,2.1
"2022-07-21","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136146/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly%252B21%252B2022.pdf","2022-06-26","2022-07-16","SK","South East",,,,,3.8
"2022-07-21","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136146/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly%252B21%252B2022.pdf","2022-06-26","2022-07-16","SK","Unknown",628,22,,,
"2022-08-18","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136444/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly17%252Bto%252BAug%252B13%252B2021.pdf","2022-07-17","2022-08-13","SK",,1524,27,488,27,7.4
"2022-08-18","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136444/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly17%252Bto%252BAug%252B13%252B2021.pdf","2022-07-17","2022-08-13","SK","Far North West",,,,,9.5
"2022-08-18","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136444/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly17%252Bto%252BAug%252B13%252B2021.pdf","2022-07-17","2022-08-13","SK","Far North Central",,,,,7.4
"2022-08-18","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136444/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly17%252Bto%252BAug%252B13%252B2021.pdf","2022-07-17","2022-08-13","SK","Far North East",,,,,3.2
"2022-08-18","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136444/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly17%252Bto%252BAug%252B13%252B2021.pdf","2022-07-17","2022-08-13","SK","North West",,,,,10.1
"2022-08-18","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136444/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly17%252Bto%252BAug%252B13%252B2021.pdf","2022-07-17","2022-08-13","SK","North Central",,,,,7.4
"2022-08-18","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136444/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly17%252Bto%252BAug%252B13%252B2021.pdf","2022-07-17","2022-08-13","SK","North East",,,,,7
"2022-08-18","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136444/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly17%252Bto%252BAug%252B13%252B2021.pdf","2022-07-17","2022-08-13","SK","Saskatoon",,,,,10.1
"2022-08-18","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136444/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly17%252Bto%252BAug%252B13%252B2021.pdf","2022-07-17","2022-08-13","SK","Central West",,,,,6.9
"2022-08-18","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136444/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly17%252Bto%252BAug%252B13%252B2021.pdf","2022-07-17","2022-08-13","SK","Central East",,,,,10
"2022-08-18","https://pubsaskdev.blob.core.windows.net/pubsask-prod/136444/Integrated%252BEpi%252BSit%252BMonthly%252BReport%252BJuly17%252Bto%252BAug%252B13%252B2021.pdf","2022-07-17","2022-08-13","SK","Regina",,,,,7.9
