"name","province","sub_region_1","date","value","value_daily"
"cases","AB","Central",2020-03-24,34,11
"cases","AB","Edmonton",2020-03-24,91,15
"cases","AB","North",2020-03-24,20,2
"cases","AB","Not Reported",2020-03-24,0,0
"cases","AB","South",2020-03-24,10,2
"cases","AB",NA,2020-03-24,0,0
"cases","AB","Calgary",2020-03-25,304,46
"cases","AB","Central",2020-03-25,35,1
"cases","AB","Edmonton",2020-03-25,103,12
"cases","AB","North",2020-03-25,23,3
"cases","AB","Not Reported",2020-03-25,0,0
"cases","AB","South",2020-03-25,11,1
"cases","AB",NA,2020-03-25,0,0
"cases","AB","Calgary",2020-03-26,349,45
"cases","AB","Central",2020-03-26,36,1
"cases","AB","Edmonton",2020-03-26,107,4
"cases","AB","North",2020-03-26,26,3
"cases","AB","Not Reported",2020-03-26,0,0
"cases","AB","South",2020-03-26,11,0
"cases","AB",NA,2020-03-26,0,0
"cases","AB","Calgary",2020-03-27,392,43
"cases","AB","Central",2020-03-27,42,6
"cases","AB","Edmonton",2020-03-27,128,21
"cases","AB","North",2020-03-27,39,13
"cases","AB","Not Reported",2020-03-27,0,0
"cases","AB","South",2020-03-27,13,2
"cases","AB",NA,2020-03-27,0,0
"cases","AB","Calgary",2020-03-28,425,33
"cases","AB","Central",2020-03-28,43,1
"cases","AB","Edmonton",2020-03-28,144,16
"cases","AB","North",2020-03-28,43,4
"cases","AB","Not Reported",2020-03-28,0,0
"cases","AB","South",2020-03-28,13,0
"cases","AB",NA,2020-03-28,0,0
"cases","AB","Calgary",2020-03-29,448,23
"cases","AB","Central",2020-03-29,44,1
"cases","AB","Edmonton",2020-03-29,154,10
"cases","AB","North",2020-03-29,43,0
"cases","AB","Not Reported",2020-03-29,0,0
"cases","AB","South",2020-03-29,13,0
"cases","AB",NA,2020-03-29,0,0
"cases","AB","Calgary",2020-03-30,468,20
"cases","AB","Central",2020-03-30,45,1
"cases","AB","Edmonton",2020-03-30,170,16
"cases","AB","North",2020-03-30,46,3
"cases","AB","Not Reported",2020-03-30,0,0
"cases","AB","South",2020-03-30,13,0
"cases","AB",NA,2020-03-30,0,0
"cases","AB","Calgary",2020-03-31,552,84
"cases","AB","Central",2020-03-31,49,4
"cases","AB","Edmonton",2020-03-31,205,35
"cases","AB","North",2020-03-31,55,9
"cases","AB","Not Reported",2020-03-31,0,0
"cases","AB","South",2020-03-31,13,0
