"date","source","date_start","date_end","region","sub_region_1","active_hospitalizations","active_icu"
"2020-04-09","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0195.html","2020-04-09","2020-04-09","NB",,5,4
"2020-04-10","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0198.html","2020-04-10","2020-04-10","NB",,5,3
"2020-04-11","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0199.html","2020-04-11","2020-04-11","NB",,5,3
"2020-04-12","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0200.html","2020-04-12","2020-04-12","NB",,7,3
"2020-04-13","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0202.html","2020-04-13","2020-04-13","NB",,5,3
"2020-04-14","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0204.html","2020-04-14","2020-04-14","NB",,5,3
"2020-04-15","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0206.html","2020-04-15","2020-04-15","NB",,5,3
"2020-04-16","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0209.html","2020-04-16","2020-04-16","NB",,6,3
"2020-04-17","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0211.html","2020-04-17","2020-04-17","NB",,5,3
"2020-04-18","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0213.html","2020-04-18","2020-04-18","NB",,5,3
"2020-04-19","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0215.html","2020-04-19","2020-04-19","NB",,5,3
"2020-04-20","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0218.html","2020-04-20","2020-04-20","NB",,5,2
"2020-04-21","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0220.html","2020-04-21","2020-04-21","NB",,5,1
"2020-04-22","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0222.html","2020-04-22","2020-04-22","NB",,5,1
"2020-04-23","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0224.html","2020-04-23","2020-04-23","NB",,5,1
"2020-04-24","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0226.html","2020-04-24","2020-04-24","NB",,4,1
"2020-04-25","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0229.html","2020-04-25","2020-04-25","NB",,4,0
"2020-04-26","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0230.html","2020-04-26","2020-04-26","NB",,4,0
"2020-04-27","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0231.html","2020-04-27","2020-04-27","NB",,3,0
"2020-04-28","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0235.html","2020-04-28","2020-04-28","NB",,1,0
"2020-04-29","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0237.html","2020-04-29","2020-04-29","NB",,1,0
"2020-04-30","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.04.0240.html","2020-04-30","2020-04-30","NB",,0,0
"2020-05-01","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0244.html","2020-05-01","2020-05-01","NB",,0,0
"2020-05-02","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0247.html","2020-05-02","2020-05-02","NB",,0,0
"2020-05-03","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0248.html","2020-05-03","2020-05-03","NB",,0,0
"2020-05-04","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0249.html","2020-05-04","2020-05-04","NB",,0,0
