"region","episode_year","episode_week","episode_week_date_start","episode_week_date_end","episode_week_group","age_group","gender","count","hospital_status_Hospitalized - ICU","hospital_status_Hospitalized - Non-ICU","hospital_status_Not Hospitalized","hospital_status_Not stated/Unknown","death_No","death_Not Stated","death_Yes"
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","11","2020-03-08","2020-03-14","No grouping","Not stated","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","0-19","Female",14,0,0,14,0,14,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","0-19","Male",10,0,0,10,0,10,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","0-19","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","20-29","Female",19,0,0,19,0,18,1,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","20-29","Male",9,0,0,9,0,9,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","20-29","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","30-39","Female",16,0,0,16,0,16,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","30-39","Male",9,0,0,9,0,9,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","30-39","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","40-49","Female",17,0,0,16,1,17,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","40-49","Male",14,0,0,14,0,14,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","40-49","Not stated/Other",0,0,0,0,0,0,0,0
