"date","ab_hosp_occupancy_for_with","ab_hosp_occupancy_for","ab_icu_occupancy_for_with","ab_icu_occupancy_for","mb_hosp_occupancy_in_province","mb_icu_occupancy_in_province","mb_icu_occupancy_out_of_province","mb_hosp_occupancy_total","mb_icu_occupancy_total","nb_hosp_occupancy_for_with","nb_hosp_occupancy_for","nb_icu_occupancy_for_with","nb_icu_occupancy_for","nb_total_hosp_admissions","nb_total_hosp_discharged","qc_hosp_admissions_for_with","qc_hosp_admissions_for","qc_hosp_admissions_with","qc_icu_admissions_for_with","qc_icu_admissions_for","qc_icu_admissions_with","sk_hosp_occupancy_total","sk_hosp_occupancy_covid_related_illness","sk_hosp_occupancy_incidental_infection","sk_hosp_occupancy_patient_under_investigation","sk_icu_occupancy","sk_hosp_admissions_daily_avg_past_7_days"
2021-05-15,651,,173,,241,70,,,,11,,3,,114,90,37,6,31,7,1,6,,,,,,
2021-05-16,660,,169,,258,71,,,,11,,3,,114,90,24,8,16,6,1,5,,,,,,
2021-05-17,680,,174,,265,73,,,,10,,3,,115,91,24,6,18,7,1,6,,,,,,
2021-05-18,673,,175,,278,70,,,,9,,3,,116,91,31,6,25,9,2,7,,,,,,
2021-05-19,662,,168,,293,80,,,,11,,4,,116,91,33,10,23,10,2,8,,,,,,
2021-05-20,635,,166,,291,76,,,,7,,3,,120,95,21,6,15,3,1,2,,,,,,
2021-05-21,609,,154,,296,79,,,,7,,3,,120,95,40,7,33,9,1,8,,,,,,
2021-05-22,578,,152,,298,74,,,,7,,3,,120,95,32,10,22,9,3,6,,,,,,
2021-05-23,567,,152,,316,74,,,,8,,4,,120,95,27,6,21,7,1,6,,,,,,
2021-05-24,560,,150,,,,,,,7,,4,,121,96,25,8,17,6,2,4,,,,,,
2021-05-25,538,,147,,314,79,,,,5,,1,,123,98,28,12,16,6,2,4,,,,,,
2021-05-26,528,,143,,318,74,,,,6,,2,,123,98,19,9,10,6,3,3,,,,,,
2021-05-27,508,,141,,324,73,,,,8,,3,,123,98,23,1,22,8,0,8,,,,,,
2021-05-28,472,,134,,312,69,,,,7,,3,,123,98,18,3,15,4,0,4,,,,,,
2021-05-29,441,,132,,,,,,,7,,3,,122,97,12,3,9,5,1,4,,,,,,
2021-05-30,437,,125,,308,74,,,,7,,3,,122,97,18,4,14,5,0,5,,,,,,
2021-05-31,436,,119,,308,71,,,,7,,3,,122,97,16,3,13,7,1,6,,,,,,
2021-06-01,435,,117,,305,72,,,,6,,2,,124,99,19,4,15,4,1,3,,,,,,
2021-06-02,407,,115,,294,69,,,,7,,2,,124,99,14,5,9,3,2,1,,,,,,
2021-06-03,375,,105,,297,68,,,,5,,2,,126,100,16,5,11,2,1,1,,,,,,
2021-06-04,367,,99,,293,65,41,334,106,5,,2,,126,100,10,1,9,4,1,3,,,,,,
2021-06-05,362,,92,,294,63,39,333,102,5,,2,,126,100,17,5,12,5,1,4,,,,,,
2021-06-06,351,,91,,309,62,37,346,99,5,,2,,126,100,11,1,10,1,0,1,,,,,,
2021-06-07,338,,83,,308,66,36,344,102,4,,2,,127,101,9,4,5,2,1,1,,,,,,
2021-06-08,332,,81,,300,68,36,336,104,4,,2,,127,101,14,4,10,5,0,5,,,,,,
2021-06-09,309,,80,,293,67,30,323,97,4,,2,,127,101,12,1,11,3,0,3,,,,,,
2021-06-10,297,,76,,286,64,30,316,94,4,,2,,127,101,6,0,6,1,0,1,,,,,,
2021-06-11,289,,71,,276,63,30,306,93,4,,2,,127,101,5,2,3,1,0,1,,,,,,
2021-06-12,271,,72,,285,56,26,311,82,4,,2,,127,101,9,1,8,5,0,5,,,,,,
2021-06-13,271,,70,,271,58,26,297,84,4,,2,,127,101,5,3,2,2,2,0,,,,,,
2021-06-14,272,,65,,271,60,26,297,86,7,,3,,127,101,7,2,5,3,2,1,,,,,,
2021-06-15,258,,64,,266,63,24,290,87,8,,3,,127,101,6,0,6,0,0,0,,,,,,
2021-06-16,244,,56,,251,61,22,273,83,6,,2,,130,104,3,0,3,0,0,0,,,,,,
2021-06-17,240,,55,,246,60,20,266,80,6,,2,,130,104,7,2,5,2,1,1,,,,,,
2021-06-18,225,,46,,238,60,20,258,80,6,,2,,130,104,8,2,6,5,2,3,,,,,,
2021-06-19,215,,49,,226,58,18,244,76,6,,2,,130,104,6,0,6,2,0,2,,,,,,
2021-06-20,216,,53,,233,57,17,250,74,6,,2,,130,104,5,1,4,0,0,0,,,,,,
2021-06-21,205,,52,,231,58,15,246,73,5,,2,,131,105,8,3,5,4,3,1,,,,,,
2021-06-22,201,,52,,210,57,14,224,71,5,,2,,131,105,4,1,3,2,0,2,,,,,,
2021-06-23,193,,48,,209,57,13,222,70,5,,2,,131,105,4,0,4,0,0,0,,,,,,
2021-06-24,183,,44,,200,52,12,212,64,6,,2,,131,105,3,1,2,0,0,0,,,,,,
2021-06-25,182,,43,,185,54,12,197,66,4,,1,,133,107,5,1,4,1,0,1,,,,,,
2021-06-26,173,,38,,175,53,12,187,65,4,,1,,133,107,5,1,4,1,1,0,,,,,,
2021-06-27,178,,36,,181,52,12,193,64,4,,1,,133,107,2,0,2,1,0,1,,,,,,
2021-06-28,169,,34,,183,50,11,194,61,4,,1,,133,107,2,0,2,0,0,0,,,,,,
2021-06-29,162,,32,,171,49,10,181,59,3,,0,,134,108,3,1,2,2,1,1,,,,,,
2021-06-30,151,,33,,164,46,9,173,55,4,,0,,134,108,4,0,4,2,0,2,,,,,,
2021-07-01,141,,31,,,,,,,4,,0,,134,108,3,0,3,1,0,1,,,,,,
2021-07-02,137,,29,,157,43,6,163,49,5,,0,,134,108,5,1,4,1,1,0,,,,,,
2021-07-03,134,,29,,,,,,,5,,0,,134,108,1,0,1,0,0,0,,,,,,
2021-07-04,132,,31,,,,,,,4,,0,,135,108,5,1,4,2,0,2,,,,,,
2021-07-05,135,,30,,150,40,6,156,46,4,,0,,135,108,1,0,1,0,0,0,,,,,,
2021-07-06,137,,28,,149,36,6,155,42,4,,0,,135,109,6,0,6,1,0,1,,,,,,
2021-07-07,127,,29,,147,33,5,152,38,2,,0,,137,110,2,1,1,1,0,1,,,,,,
2021-07-08,122,,32,,,,,,,2,,0,,137,110,1,0,1,0,0,0,,,,,,
2021-07-09,113,,33,,137,33,4,141,37,2,,0,,137,110,3,0,3,1,0,1,,,,,,
2021-07-10,113,,31,,,,,,,1,,0,,138,111,1,0,1,0,0,0,,,,,,
2021-07-11,107,,32,,,,,,,1,,0,,138,111,3,1,2,2,0,2,,,,,,
2021-07-12,107,,31,,135,30,3,138,33,1,,0,,138,111,0,0,0,0,0,0,,,,,,
2021-07-13,107,,31,,131,32,2,133,34,0,,0,,139,112,2,0,2,1,0,1,,,,,,
2021-07-14,102,,29,,129,31,2,131,33,0,,0,,139,112,6,1,5,2,0,2,,,,,,
2021-07-15,105,,26,,126,29,2,128,31,0,,0,,139,112,5,0,5,2,0,2,,,,,,
2021-07-16,103,,26,,119,26,1,120,27,0,,0,,139,112,2,0,2,1,0,1,,,,,,
2021-07-17,100,,26,,,,,,,0,,0,,139,112,5,1,4,1,1,0,,,,,,
2021-07-18,98,,26,,,,,,,0,,0,,139,112,2,1,1,1,1,0,,,,,,
2021-07-19,95,,26,,117,27,,,,0,,0,,139,112,2,0,2,0,0,0,,,,,,
2021-07-20,93,,26,,108,29,,,,0,,0,,139,112,1,0,1,0,0,0,,,,,,
2021-07-21,90,,26,,105,29,,,,0,,0,,139,112,4,2,2,3,2,1,,,,,,
2021-07-22,83,,26,,105,28,,,,0,,0,,139,112,2,1,1,0,0,0,,,,,,
2021-07-23,84,,23,,106,24,,,,0,,0,,139,112,1,0,1,1,0,1,,,,,,
2021-07-24,80,,22,,,,,,,0,,0,,139,112,4,0,4,1,0,1,,,,,,
2021-07-25,81,,21,,,,,,,0,,0,,139,112,1,0,1,0,0,0,,,,,,
2021-07-26,83,,21,,110,26,,,,0,,0,,139,112,4,1,3,3,1,2,,,,,,
2021-07-27,84,,18,,107,27,,,,0,,0,,139,112,3,0,3,1,0,1,,,,,,
2021-07-28,88,,20,,104,30,,,,0,,0,,139,112,3,0,3,1,0,1,,,,,,
2021-07-29,89,,19,,102,29,,,,0,,0,,139,112,1,0,1,0,0,0,,,,,,
2021-07-30,92,,18,,93,25,,,,0,,0,,139,112,6,1,5,3,1,2,,,,,,
2021-07-31,91,,17,,,,,,,0,,0,,139,112,5,0,5,1,0,1,,,,,,
2021-08-01,90,,20,,,,,,,0,,0,,139,112,3,1,2,1,0,1,,,,,,
2021-08-02,89,,22,,,,,,,0,,0,,139,112,3,0,3,2,0,2,,,,,,
2021-08-03,95,,22,,95,19,,,,0,,0,,139,112,1,0,1,1,0,1,,,,,,
2021-08-04,100,,23,,,,,,,0,,0,,139,112,8,1,7,2,0,2,,,,,,
2021-08-05,109,,25,,91,17,,,,0,,0,,139,112,3,0,3,1,0,1,,,,,,
2021-08-06,116,,25,,,,,,,0,,0,,139,112,3,0,3,1,0,1,,,,,,
2021-08-07,114,,23,,,,,,,0,,0,,139,112,5,3,2,1,1,0,,,,,,
2021-08-08,126,,26,,,,,,,0,,0,,139,112,3,1,2,0,0,0,,,,,,
2021-08-09,132,,28,,89,14,,,,0,,0,,139,112,9,1,8,3,1,2,,,,,,
2021-08-10,141,,30,,,,,,,0,,0,,139,112,9,2,7,3,1,2,,,,,,
2021-08-11,155,,37,,,,,,,0,,0,,139,112,13,0,13,6,0,6,,,,,,
2021-08-12,158,,37,,75,11,,,,0,,0,,139,112,13,4,9,2,1,1,,,,,,
2021-08-13,160,,38,,,,,,,0,,0,,139,112,8,2,6,4,1,3,,,,,,
2021-08-14,155,,42,,,,,,,0,,0,,139,112,7,1,6,5,1,4,,,,,,
2021-08-15,167,,42,,,,,,,0,,0,,139,112,5,0,5,1,0,1,,,,,,
2021-08-16,179,,43,,69,12,,,,0,,0,,140,113,5,1,4,2,0,2,,,,,,
2021-08-17,185,,45,,,,,,,1,,0,,140,113,10,2,8,2,0,2,,,,,,
2021-08-18,201,,41,,,,,,,1,,0,,140,113,10,3,7,5,1,4,,,,,,
2021-08-19,222,,44,,69,14,,,,1,,0,,140,113,13,1,12,2,0,2,,,,,,
2021-08-20,239,,45,,,,,,,1,,0,,140,113,6,0,6,3,0,3,,,,,,
2021-08-21,235,,46,,,,,,,1,,0,,140,113,13,4,9,6,1,5,,,,,,
2021-08-22,248,,51,,,,,,,1,,0,,140,113,15,4,11,2,2,0,,,,,,
2021-08-23,266,,55,,63,16,,,,3,,0,,141,114,15,3,12,4,0,4,,,,,,
2021-08-24,291,,56,,,,,,,3,,0,,142,115,14,3,11,5,2,3,,,,,,
2021-08-25,310,,61,,,,,,,3,,0,,142,115,17,5,12,5,3,2,,,,,,
2021-08-26,336,,71,,65,21,,,,4,,0,,142,115,28,5,23,15,3,12,,,,,,
2021-08-27,359,,82,,,,,,,3,,0,,143,116,19,5,14,9,2,7,,,,,,
2021-08-28,382,,82,,,,,,,3,,0,,143,116,17,1,16,2,0,2,,,,,,
2021-08-29,405,,92,,,,,,,3,,0,,143,116,12,1,11,1,0,1,,,,,,
2021-08-30,439,,101,,65,18,,,,3,,1,,143,116,11,3,8,6,2,4,,,,,,
2021-08-31,475,,102,,,,,,,3,,1,,143,116,22,4,18,8,3,5,,,,,,
2021-09-01,494,,110,,,,,,,3,,1,,143,116,30,7,23,9,1,8,,,,,,
2021-09-02,532,,113,,70,15,,,,3,,1,,143,116,18,3,15,4,0,4,,,,,,
2021-09-03,557,,122,,,,,,,3,,2,,143,116,27,10,17,12,5,7,,,,,,
2021-09-04,571,,127,,,,,,,3,,2,,143,116,24,5,19,8,2,6,,,,,,
2021-09-05,586,,133,,,,,,,3,,2,,143,116,29,5,24,16,4,12,,,,,,
2021-09-06,614,,136,,,,,,,3,,2,,143,116,26,7,19,9,3,6,,,,,,
2021-09-07,664,,143,,74,12,,,,4,,3,,145,117,17,1,16,5,0,5,,,,,,
2021-09-08,684,,147,,,,,,,5,,4,,146,118,24,7,17,8,3,5,,,,,,
2021-09-09,699,,163,,77,16,,,,6,,4,,147,119,24,7,17,9,2,7,,,,,,
2021-09-10,750,,175,,,,,,,6,,3,,148,120,31,13,18,11,8,3,,,,,,
2021-09-11,767,,178,,,,,,,6,,3,,148,120,29,2,27,7,0,7,,,,,,
2021-09-12,812,,190,,,,,,,6,,3,,148,120,34,6,28,14,2,12,,,,,,
2021-09-13,835,,205,,,,,,,11,,9,,148,120,18,4,14,4,2,2,,,,,,
2021-09-14,883,,211,,,,,,,11,,8,,150,122,26,8,18,11,4,7,,,,,,
2021-09-15,905,,215,,,,,,,12,,7,,152,123,37,9,28,10,2,8,,,,,,
2021-09-16,923,,212,,62,12,,,,15,,9,,152,123,39,7,32,17,4,13,,,,,,
2021-09-17,926,,208,,,,,,,17,,10,,152,123,39,9,30,13,3,10,,,,,,
2021-09-18,936,,199,,,,,,,17,,10,,152,123,32,6,26,12,4,8,,,,,,
2021-09-19,963,,215,,,,,,,17,,10,,152,123,29,10,19,10,4,6,,,,,,
2021-09-20,1000,,219,,66,14,,,,23,,14,,154,125,21,2,19,8,0,8,,,,,,
2021-09-21,1035,,230,,,,,,,24,,15,,254,125,33,6,27,10,2,8,,,,,,
2021-09-22,1052,,227,,,,,,,26,,15,,155,125,29,5,24,8,2,6,,,,,,
2021-09-23,1068,,239,,68,14,,,,27,,12,,157,127,37,11,26,11,3,8,,,,,,
2021-09-24,1068,,241,,,,,,,31,,15,,159,128,43,13,30,13,5,8,,,,,,
2021-09-25,1044,,246,,,,,,,32,,13,,165,133,35,4,31,15,2,13,,,,,,
2021-09-26,1071,,250,,,,,,,33,,15,,168,135,33,9,24,7,2,5,,,,,,
2021-09-27,1104,,244,,77,19,,,,41,,16,,167,134,28,5,23,8,1,7,,,,,,
2021-09-28,1076,,251,,,,,,,40,,16,,173,140,23,7,16,8,2,6,,,,,,
2021-09-29,1077,,247,,,,,,,40,,16,,178,145,41,8,33,11,2,9,,,,,,
2021-09-30,1059,,249,,,,,,,40,,16,,185,150,38,11,27,8,3,5,,,,,,
2021-10-01,1055,,245,,92,19,,,,41,,15,,188,153,19,4,15,1,0,1,,,,,,
2021-10-02,1080,,241,,,,,,,44,,17,,192,154,33,11,22,9,4,5,,,,,,
2021-10-03,1072,,240,,,,,,,45,,20,,196,156,28,7,21,7,2,5,,,,,,
2021-10-04,1090,,233,,98,18,,,,49,,21,,198,157,22,8,14,5,3,2,,,,,,
2021-10-05,1088,,230,,,,,,,50,,23,,202,161,24,8,16,4,1,3,,,,,,
2021-10-06,1084,,234,,,,,,,51,,25,,203,162,27,8,19,3,1,2,,,,,,
2021-10-07,1076,,236,,85,15,,,,55,,31,,207,166,33,12,21,13,4,9,,,,,,
2021-10-08,1049,,238,,,,,,,58,,30,,213,171,18,5,13,4,0,4,,,,,,
2021-10-09,1014,,224,,,,,,,56,,23,,218,171,16,5,11,4,2,2,,,,,,
2021-10-10,1044,,226,,,,,,,53,,22,,224,180,24,8,16,5,2,3,,,,,,
2021-10-11,1039,,222,,,,,,,56,,20,,226,181,20,5,15,6,1,5,,,,,,
2021-10-12,1022,,217,,85,16,,,,63,,27,,227,182,20,1,19,8,0,8,,,,,,
2021-10-13,1005,,215,,,,,,,68,,27,,235,185,28,7,21,5,3,2,,,,,,
2021-10-14,989,,212,,93,17,,,,63,,19,,242,191,32,8,24,6,2,4,,,,,,
2021-10-15,979,,208,,,,,,,60,,18,,254,201,26,11,15,8,4,4,,,,,,
2021-10-16,957,,202,,,,,,,54,,17,,264,209,32,12,20,11,4,7,,,,,,
2021-10-17,963,,211,,,,,,,57,,18,,266,210,24,10,14,8,2,6,,,,,,
2021-10-18,952,,204,,90,16,,,,61,,20,,269,212,19,6,13,3,0,3,,,,,,
2021-10-19,924,,195,,,,,,,57,,18,,274,215,14,0,14,3,0,3,,,,,,
2021-10-20,898,,189,,,,,,,55,,16,,281,217,20,8,12,9,5,4,,,,,,
2021-10-21,879,,182,,87,20,,,,55,,16,,282,218,18,4,14,6,2,4,,,,,,
2021-10-22,847,,181,,,,,,,50,,15,,289,222,25,6,19,7,2,5,,,,,,
2021-10-23,816,,184,,,,,,,43,,13,,298,21,26,8,18,7,1,6,,,,,,
2021-10-24,813,,170,,,,,,,41,,11,,302,233,14,3,11,1,0,1,,,,,,
2021-10-25,825,,168,,83,20,,,,39,,14,,307,235,20,3,17,8,0,8,,,,,,
2021-10-26,799,,167,,,,,,,40,,14,,308,236,11,3,8,3,1,2,,,,,,
2021-10-27,771,,168,,,,,,,33,,15,,316,244,32,7,25,10,3,7,,,,,,
2021-10-28,756,,162,,82,24,,,,31,,16,,321,247,24,4,20,5,2,3,,,,,,
2021-10-29,730,,154,,,,,,,28,,17,,326,252,17,4,13,5,2,3,,,,,,
2021-10-30,692,,147,,,,,,,23,,13,,331,255,20,2,18,3,0,3,,,,,,
2021-10-31,683,,144,,,,,,,23,,13,,333,257,20,7,13,4,1,3,,,,,,
2021-11-01,685,,148,,98,25,,,,24,,16,,334,258,19,5,14,9,3,6,,,,,,
2021-11-02,684,,139,,,,,,,24,,14,,336,259,20,1,19,2,0,2,,,,,,
2021-11-03,665,,133,,,,,,,19,,13,,343,265,23,4,19,2,0,2,,,,,,
2021-11-04,649,,130,,115,24,,,,18,,12,,345,266,30,5,25,10,2,8,,,,,,
2021-11-05,648,,127,,,,,,,14,,9,,349,269,20,5,15,4,1,3,,,,,,
2021-11-06,620,,128,,,,,,,13,,8,,351,271,24,7,17,5,2,3,,,,,,
2021-11-07,597,,123,,,,,,,15,,9,,350,270,20,5,15,5,2,3,,,,,,
2021-11-08,599,,119,,141,26,,,,17,,9,,350,270,14,1,13,2,0,2,,,,,,
2021-11-09,575,,115,,,,,,,16,,10,,353,273,28,6,22,2,1,1,,,,,,
2021-11-10,559,,104,,,,,,,17,,11,,356,276,28,8,20,9,3,6,,,,,,
2021-11-11,544,,98,,,,,,,18,,11,,359,279,15,3,12,3,1,2,,,,,,
2021-11-12,534,,95,,145,30,,,,19,,11,,360,280,28,3,25,9,2,7,,,,,,
2021-11-13,519,,92,,,,,,,22,,11,,361,281,33,8,25,8,2,6,,,,,,
2021-11-14,511,,91,,,,,,,20,,12,,364,283,20,4,16,5,1,4,,,,,,
2021-11-15,515,,92,,146,31,,,,21,,14,,365,284,25,10,15,11,5,6,,,,,,
2021-11-16,508,,90,,,,,,,22,,14,,367,286,23,4,19,7,2,5,,,,,,
2021-11-17,500,,83,,,,,,,30,,16,,367,286,33,8,25,5,0,5,,,,,,
2021-11-18,486,,82,,157,30,,,,28,,14,,371,290,38,6,32,8,3,5,,,,,,
2021-11-19,474,,85,,,,,,,28,,16,,374,293,24,9,15,4,1,3,,,,,,
2021-11-20,454,,80,,,,,,,30,,17,,378,297,34,13,21,12,8,4,,,,,,
2021-11-21,460,,85,,,,,,,32,,18,,379,298,30,7,23,12,2,10,,,,,,
2021-11-22,469,,83,,152,24,,,,33,,15,,382,301,14,3,11,5,1,4,,,,,,
2021-11-23,463,,84,,,,,,,45,,18,,383,302,32,5,27,10,1,9,,,,,,
2021-11-24,454,,85,,,,,,,45,,19,,387,306,38,10,28,8,3,5,,,,,,
2021-11-25,454,,78,,136,24,,,,54,,18,,390,309,32,6,26,7,1,6,,,,,,
2021-11-26,450,,72,,,,,,,56,,18,,392,311,40,8,32,13,2,11,,,,,,
2021-11-27,435,,68,,,,,,,61,,16,,397,316,47,6,41,10,2,8,,,,,,
2021-11-28,428,,68,,,,,,,62,,17,,398,317,37,5,32,8,2,6,,,,,,
2021-11-29,432,,71,,142,25,,,,64,,17,,402,320,32,9,23,13,6,7,,,,,,
2021-11-30,417,,71,,,,,,,66,,15,,405,322,33,4,29,9,0,9,,,,,,
2021-12-01,413,,69,,143,24,,,,67,,15,,411,326,40,7,33,10,2,8,,,,,,
2021-12-02,389,,66,,,,,,,59,,16,,420,333,49,10,39,15,4,11,,,,,,
2021-12-03,381,,62,,141,23,,,,49,,16,,434,345,39,6,33,8,2,6,,,,,,
2021-12-04,373,,62,,,,,,,51,,16,,440,351,49,10,39,8,4,4,,,,,,
2021-12-05,384,,66,,,,,,,46,,16,,447,358,49,14,35,13,4,9,,,,,,
2021-12-06,389,,67,,152,30,,,,49,,18,,449,358,42,12,30,15,4,11,,,,,,
2021-12-07,381,,60,,,,,,,47,,18,,457,366,43,13,30,10,7,3,,,,,,
2021-12-08,375,,62,,153,34,,,,43,,18,,461,370,52,11,41,12,2,10,,,,,,
2021-12-09,376,,64,,,,,,,40,,16,,467,374,59,17,42,15,5,10,,,,,,
2021-12-10,385,,64,,142,35,,,,36,,12,,475,381,74,17,57,18,7,11,,,,,,
2021-12-11,370,,62,,,,,,,32,,11,,483,387,69,15,54,15,6,9,,,,,,
2021-12-12,366,,63,,,,,,,39,,14,,484,388,65,22,43,23,7,16,,,,,,
2021-12-13,377,,64,,142,34,,,,41,,14,,487,389,62,18,44,13,6,7,,,,,,
2021-12-14,372,,66,,,,,,,44,,14,,490,390,94,27,67,19,5,14,,,,,,
2021-12-15,362,,63,,139,34,,,,42,,14,,498,398,81,15,66,16,3,13,,,,,,
2021-12-16,351,,61,,,,,,,41,,15,,504,404,78,20,58,17,4,13,,,,,,
2021-12-17,341,,60,,139,33,,,,45,,14,,506,404,106,22,84,19,4,15,,,,,,
2021-12-18,324,,65,,,,,,,40,,13,,513,410,113,29,84,18,4,14,,,,,,
2021-12-19,331,,63,,,,,,,43,,13,,515,412,86,28,58,22,11,11,,,,,,
2021-12-20,339,,65,,137,27,,,,42,,17,,519,417,84,28,56,19,7,12,,,,,,
2021-12-21,338,,64,,,,,,,41,,17,,522,420,113,27,86,24,9,15,,,,,,
2021-12-22,332,,63,,137,24,,,,40,,17,,526,423,159,52,107,30,12,18,,,,,,
2021-12-23,337,,62,,,,,,,39,,16,,530,425,149,39,110,21,8,13,,,,,,
2021-12-24,325,,57,,135,24,,,,34,,15,,540,434,150,47,103,35,16,19,,,,,,
2021-12-25,322,,54,,,,,,,34,,15,,540,434,142,58,84,30,15,15,,,,,,
2021-12-26,329,,53,,,,,,,34,,15,,540,434,139,48,91,26,10,16,,,,,,
2021-12-27,350,,55,,158,25,,,,35,,14,,546,436,153,68,85,31,16,15,,,,,,
2021-12-28,376,,50,,,,,,,38,,13,,548,438,201,83,118,41,21,20,,,,,,
2021-12-29,397,,51,,183,29,,,,43,,17,,553,442,214,103,111,32,19,13,,,,,,
2021-12-30,424,,51,,,,,,,40,,16,,562,449,290,136,154,53,35,18,,,,,,
2021-12-31,424,,51,,192,30,,,,45,,21,,567,454,298,133,165,47,27,20,,,,,,
2022-01-01,436,,54,,,,,,,45,,21,,567,454,273,134,139,48,17,31,,,,,,
2022-01-02,465,,56,,,,,,,45,,21,,567,454,252,134,118,42,22,20,,,,,,
2022-01-03,482,,54,,,,,,,51,,17,,577,461,280,141,139,51,26,25,,,,,,
2022-01-04,539,,60,,,,,,,56,,16,,584,465,256,135,121,39,19,20,,,,,,
2022-01-05,566,,65,,252,30,,,,59,,16,,589,468,320,166,154,51,27,24,,,,,,
2022-01-06,600,,67,,,,,,,63,,19,,594,472,345,172,173,52,28,24,,,,,,
2022-01-07,667,,72,,297,34,,,,69,,17,,603,480,362,200,162,56,32,24,,,,,,
2022-01-08,688,,77,,,,,,,80,,17,,606,482,363,190,173,62,37,25,,,,,,
2022-01-09,733,,76,,,,,,,79,,16,,615,490,290,173,117,46,31,15,,,,,,
2022-01-10,794,,81,,,,,,,86,,13,,622,497,305,174,131,41,22,19,,,,,,
2022-01-11,829,,84,,,,,,,88,,14,,632,505,353,192,161,52,30,22,,,,,,
2022-01-12,866,,80,,,,,,,94,,10,,638,511,375,214,161,49,28,21,,,,,,
2022-01-13,918,,82,,,,,,,104,,9,,650,519,327,172,155,52,28,24,,,,,,
2022-01-14,975,,83,,,,,,,103,,11,,664,529,348,191,157,50,29,21,,,,,,
2022-01-15,1001,,92,,,,,,,113,,12,,678,542,379,231,148,59,31,28,,,,,,
2022-01-16,1078,,99,,,,,,,115,,14,,686,546,274,158,116,44,26,18,,,,,,
2022-01-17,1164,,104,,,,,,,113,,16,,701,560,210,116,94,38,21,17,,,,,,
2022-01-18,1183,,111,,,,,,,113,,15,,720,577,289,176,113,40,20,20,,,,,,
2022-01-19,1224,,113,,,,,,,123,,11,,733,586,293,152,141,48,24,24,,,,,,
2022-01-20,1286,,110,,,,,,,124,,12,,746,596,330,172,158,58,29,29,,,,,,
2022-01-21,1331,,107,,,,,,,125,73,14,11,760,609,304,153,151,44,18,26,,,,,,
2022-01-22,1344,,107,,,,,,,125,74,12,10,772,615,290,133,157,46,18,28,,,,,,
2022-01-23,1405,,111,,,,,,,126,74,10,9,780,622,216,118,98,24,9,15,,,,,,
2022-01-24,1484,,113,,,,,,,131,74,12,9,789,630,204,113,91,28,18,10,,,,,,
2022-01-25,1521,,110,,,,,,,138,82,11,8,804,644,252,132,120,33,19,14,,,,,,
2022-01-26,1575,,109,,,,,,,137,80,8,7,827,662,210,117,93,31,13,18,,,,,,
2022-01-27,1578,,107,,,,,,,141,83,8,7,840,673,253,121,132,39,16,23,,,,,,
2022-01-28,1582,,105,,,,,,,135,72,16,14,864,694,238,112,126,33,21,12,,,,,,
2022-01-29,1552,,103,,,,,,,159,85,14,13,869,699,204,106,98,32,21,11,,,,,,
2022-01-30,1582,,103,,,,,,,164,89,13,13,875,703,151,76,75,24,15,9,,,,,,
2022-01-31,1656,,111,,,,,,,152,84,16,15,899,722,158,80,78,30,11,19,,,,,,
2022-02-01,1668,754,107,62,,,,,,162,95,17,16,906,728,184,90,94,26,14,12,,,,,,
2022-02-02,1648,757,114,70,,,,,,165,98,16,13,916,735,185,91,94,22,9,13,383,171,196,16,40,35.9
2022-02-03,1641,759,122,80,,,,,,165,97,14,13,935,753,172,74,98,25,12,13,,,,,,
2022-02-04,1624,752,122,81,,,,,,163,93,17,16,948,766,165,67,98,20,6,14,,,,,,
2022-02-05,1575,733,117,82,,,,,,162,89,17,16,961,776,184,84,100,24,13,11,,,,,,
2022-02-06,1612,764,119,87,,,,,,159,84,17,16,973,787,123,62,61,19,9,10,,,,,,
2022-02-07,1678,817,130,92,,,,,,151,83,16,14,996,807,122,54,68,23,12,11,,,,,,
2022-02-08,1663,823,135,97,,,,,,151,81,17,14,1015,825,168,78,90,31,16,15,,,,,,
2022-02-09,1637,801,128,93,,,,,,139,77,15,12,1036,842,165,74,91,32,11,21,384,160,206,18,26,37.9
2022-02-10,1604,797,127,92,,,,,,140,77,15,13,1054,860,157,81,76,20,10,10,,,,,,
2022-02-11,1591,796,119,91,,,,,,135,73,13,10,1074,880,134,59,75,27,15,12,,,,,,
2022-02-12,1550,784,122,91,,,,,,122,63,14,10,1093,898,132,50,82,19,8,11,,,,,,
2022-02-13,1560,793,122,87,,,,,,116,59,15,10,1108,911,123,65,58,15,7,8,,,,,,
2022-02-14,1578,819,123,90,,,,,,112,58,13,10,1126,927,99,51,48,19,10,9,,,,,,
2022-02-15,1547,803,121,88,,,,,,101,52,11,9,1146,946,116,48,68,15,6,9,,,,,,
2022-02-16,1526,791,116,83,,,,,,89,45,9,8,1166,965,109,56,53,18,11,7,410,181,221,8,33,35.3
2022-02-17,1530,783,118,86,,,,,,79,40,9,8,1182,980,105,42,63,18,6,12,,,,,,
2022-02-18,1490,764,121,89,,,,,,78,35,8,7,1192,989,110,45,65,16,8,8,,,,,,
2022-02-19,1425,741,108,83,,,,,,78,35,8,7,1192,989,129,49,80,27,10,17,,,,,,
2022-02-20,1415,738,96,75,,,,,,78,35,8,7,1192,989,104,43,61,16,5,11,,,,,,
2022-02-21,1416,737,94,73,,,,,,78,35,8,7,1192,989,84,32,52,14,4,10,,,,,,
